port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5000,1,1,1,2,0.9999,0.0,0.5057
5000,1,1,2,2,0.9999,0.0002,0.5068
5001,1,1,1,3,0.9997,0.0003,0.3438
5001,1,1,2,3,0.9999,0.0002,0.3395
5002,1,1,1,2,0.9999,0.0001,0.5052
5003,1,1,1,2,0.9999,0.0,0.5054
5000,1,2,1,3,0.9995,0.0011,0.3493
5001,1,2,1,2,0.9999,0.0,0.5049
5001,1,2,2,2,0.9999,0.0,0.5049
5002,1,2,1,3,0.9996,0.0001,0.3461
5002,1,2,2,2,0.9999,0.0017,0.5053
5003,1,2,1,2,1.0,0.0001,0.5026
5000,1,3,1,3,0.9996,0.001,0.3463
5000,1,3,2,3,1.0,0.0003,0.3365
5001,1,3,1,3,1.0,0.0005,0.3367
5001,1,3,2,3,0.9999,0.0006,0.3415
5002,1,3,1,2,0.9996,0.0004,0.512
5002,1,3,2,3,0.9996,0.0019,0.3428
5003,1,3,1,2,1.0,0.0,0.5033
5000,1,4,1,3,0.9998,0.0009,0.341
5000,1,4,2,3,0.9999,0.0004,0.3398
5001,1,4,1,2,0.9997,0.0004,0.5107
5001,1,4,2,3,0.9999,0.0004,0.3418
5002,1,4,1,3,0.9981,0.0025,0.3631
5003,1,4,1,2,0.9999,0.0,0.5047
5003,1,4,2,3,1.0,0.0,0.3371
5000,1,5,1,3,0.9993,0.0014,0.352
5000,1,5,2,3,0.9999,0.0004,0.3394
5001,1,5,1,2,0.9995,0.0018,0.5133
5001,1,5,2,3,0.9999,0.0001,0.3388
5002,1,5,1,3,0.9987,0.0025,0.3551
5003,1,5,1,3,1.0,0.0,0.3361
5000,1,6,1,3,0.9997,0.0009,0.3432
5000,1,6,2,4,0.9997,0.0013,0.2609
5001,1,6,1,2,0.9995,0.0019,0.5137
5001,1,6,2,3,0.9999,0.0003,0.3411
5002,1,6,1,3,0.9985,0.0027,0.3581
5003,1,6,1,5,1.0,0.0,0.2003
5000,1,7,1,3,1.0,0.0009,0.3333
5000,1,7,2,5,0.963,0.002,0.2857
5001,1,7,1,2,0.9999,0.0006,0.5045
5001,1,7,3,3,1.0,0.0008,0.3367
5002,1,7,1,3,0.9996,0.002,0.3402
5003,1,7,1,3,1.0,0.0,0.3361
5000,1,8,1,3,0.9986,0.0026,0.3462
5000,1,8,2,2,0.9852,0.0024,0.5714
5000,1,8,3,3,1.0,0.0003,0.3333
5001,1,8,2,3,0.9999,0.001,0.3387
5002,1,8,1,3,0.9993,0.0007,0.3502
5003,1,8,1,2,0.9999,0.0,0.5054
5000,1,9,1,3,0.9998,0.0009,0.3377
5000,1,9,2,3,1.0,0.0038,0.3333
5000,1,9,3,3,1.0,0.003,0.3333
5002,1,9,1,3,0.9993,0.0015,0.3506
5002,1,9,2,3,0.9998,0.0004,0.3417
5003,1,9,1,3,0.9983,0.0,0.3478
5003,1,9,2,4,0.9591,0.0,0.3333
5000,1,10,1,5,0.9987,0.0115,0.2097
5000,1,10,2,4,0.9904,0.0016,0.2727
5000,1,10,3,2,1.0,0.0003,0.5
5001,1,10,1,3,1.0,0.0009,0.3347
5002,1,10,1,5,0.9936,0.0011,0.2432
5003,1,10,1,4,1.0,0.0,0.25
5003,1,10,2,2,1.0,0.0,0.5
5000,1,11,1,4,0.9991,0.002,0.2711
5001,1,11,1,3,0.9981,0.0025,0.3636
5001,1,11,2,5,0.9697,0.0019,0.3333
5002,1,11,1,5,0.9961,0.001,0.2255
5003,1,11,1,4,0.9997,0.0003,0.262
5000,1,12,1,4,0.9997,0.0005,0.2628
5001,1,12,1,3,0.9997,0.0001,0.3437
5002,1,12,1,3,0.9985,0.0033,0.3568
5003,1,12,1,5,0.9995,0.0005,0.2154
5000,1,13,1,4,0.9994,0.0012,0.2659
5001,1,13,1,5,0.9998,0.0017,0.2076
5002,1,13,1,3,0.9983,0.0043,0.3594
5000,1,14,1,4,0.999,0.0022,0.2701
5001,1,14,1,3,0.9991,0.0001,0.3438
5001,1,14,2,3,1.0,0.0009,0.3333
5001,1,14,3,2,1.0,0.0006,0.5
5002,1,14,1,3,0.9987,0.0041,0.3551
5002,1,14,2,3,0.9993,0.0026,0.3507
5003,1,14,1,7,0.9893,0.0002,0.1538
5000,1,15,1,2,0.9996,0.0021,0.5116
5000,1,15,2,3,0.9977,0.0065,0.35
5000,1,15,3,3,0.9602,0.0038,0.4
5001,1,15,1,3,0.9991,0.0006,0.3548
5001,1,15,2,3,1.0,0.0002,0.3333
5001,1,15,3,2,1.0,0.0,0.5
5002,1,15,1,3,1.0,0.0001,0.3349
5003,1,15,1,2,0.9999,0.0001,0.5049
5003,1,15,2,4,0.9993,0.0014,0.268
5000,1,16,1,6,0.9968,0.0138,0.1923
5000,1,16,3,2,1.0,0.0,0.5
5001,1,16,1,3,1.0,0.0005,0.3333
5001,1,16,2,6,0.9755,0.0007,0.2857
5002,1,16,1,5,0.9998,0.0028,0.2061
5003,1,16,2,4,0.9999,0.0005,0.2561
5000,1,17,1,4,0.9967,0.0044,0.2876
5001,1,17,1,3,0.9947,0.0008,0.3846
5001,1,17,2,4,1.0,0.001,0.25
5002,1,17,1,4,0.9993,0.0022,0.2667
5003,1,17,1,2,0.9989,0.0005,0.5193
5000,1,18,1,4,1.0,0.0013,0.2512
5001,1,18,1,3,0.9989,0.0007,0.3448
5001,1,18,2,3,0.9851,0.0023,0.375
5001,1,18,3,2,1.0,0.0011,0.5
5003,1,18,1,3,1.0,0.0001,0.3333
5003,1,18,2,3,1.0,0.0,0.3333
5003,1,18,3,2,1.0,0.0,0.5
5000,1,19,1,6,0.9929,0.0174,0.1988
5001,1,19,2,3,0.9999,0.0007,0.3404
5003,1,19,1,3,1.0,0.0001,0.3355
5003,1,19,2,3,0.9999,0.0006,0.3398
5000,1,20,1,4,1.0,0.001,0.25
5000,1,20,2,3,1.0,0.0001,0.3333
5001,1,20,2,15,0.9997,0.0037,0.0705
5002,1,20,1,3,0.9977,0.0004,0.35
5002,1,20,2,3,0.9602,0.0036,0.4
5003,1,20,2,2,0.9999,0.0002,0.5055
5003,1,20,3,2,0.9999,0.0,0.507
5000,1,21,1,6,0.9925,0.0054,0.2308
5000,1,21,2,2,1.0,0.0002,0.5
5003,1,21,1,6,0.9998,0.0,0.1765
