game,round,pu_after,territories_after
928,1,20,5
928,2,22,6
928,3,20,5
928,4,26,8
928,5,39,9
928,6,48,12
928,7,51,14
928,8,50,14
928,9,50,14
928,10,50,13
928,11,48,12
928,12,32,11
928,13,45,12
928,14,47,13
928,15,50,14
928,16,51,14
928,17,49,13
928,18,51,14
928,19,61,15
928,20,50,13
928,21,44,14
928,22,67,18
928,23,71,21
928,24,73,22
928,25,81,23
928,26,78,23
928,27,89,23
928,28,88,24
928,29,89,25
928,30,92,27
929,1,20,5
929,2,26,8
929,3,27,8
929,4,26,8
929,5,39,9
929,6,44,10
929,7,42,10
929,8,43,10
929,9,41,9
929,10,42,8
929,11,26,8
929,12,28,9
929,13,44,11
929,14,49,11
929,15,47,12
929,16,48,12
929,17,51,13
929,18,51,12
929,19,47,10
929,20,31,5
929,21,24,5
929,22,22,7
929,23,41,8
929,24,0,7
930,1,20,5
930,2,24,7
930,3,24,8
930,4,24,8
930,5,26,8
930,6,24,8
930,7,39,8
930,8,44,11
930,9,48,13
930,10,49,13
930,11,49,14
930,12,49,14
930,13,49,13
930,14,47,12
930,15,33,10
930,16,47,12
930,17,50,13
930,18,53,15
930,19,53,14
930,20,53,12
930,21,51,13
930,22,63,16
930,23,65,18
930,24,83,21
930,25,89,25
930,26,88,24
930,27,91,27
931,1,20,5
931,2,24,7
931,3,26,9
931,4,27,9
931,5,42,9
931,6,43,10
931,7,47,13
931,8,51,12
931,9,48,10
931,10,28,9
931,11,27,9
931,12,41,10
931,13,50,13
931,14,50,13
931,15,47,10
931,16,31,9
931,17,32,7
931,18,39,5
931,19,0,5
931,20,0,3
932,1,20,5
932,2,26,8
932,3,27,8
932,4,26,8
932,5,39,9
932,6,42,9
932,7,43,10
932,8,45,11
932,9,49,13
932,10,51,14
932,11,53,14
932,12,52,13
932,13,49,14
932,14,55,16
932,15,56,17
932,16,61,18
932,17,61,17
932,18,57,17
932,19,57,15
932,20,57,16
932,21,63,19
932,22,71,20
932,23,73,22
932,24,77,23
932,25,91,25
933,1,20,5
933,2,24,7
933,3,26,9
933,4,27,9
933,5,42,9
933,6,47,11
933,7,49,13
933,8,49,13
933,9,49,12
933,10,34,11
933,11,34,12
933,12,55,15
933,13,59,14
933,14,56,14
933,15,55,16
933,16,56,15
933,17,57,11
933,18,34,10
933,19,30,8
933,20,44,8
933,21,47,11
933,22,43,14
933,23,67,13
933,24,63,11
933,25,55,11
933,26,56,11
933,27,61,12
933,28,42,8
933,29,33,4
933,30,26,3
933,31,0,6
933,32,0,6
933,33,0,3
934,1,20,5
934,2,26,8
934,3,27,8
934,4,26,8
934,5,39,9
934,6,44,10
934,7,42,10
934,8,45,10
934,9,45,10
934,10,30,10
934,11,30,9
934,12,45,11
934,13,47,12
934,14,49,12
934,15,45,12
934,16,50,12
934,17,47,9
934,18,27,9
934,19,28,8
934,20,25,7
934,21,23,7
934,22,22,6
934,23,0,2
935,1,20,5
935,2,26,8
935,3,27,8
935,4,26,8
935,5,39,9
935,6,42,10
935,7,45,11
935,8,47,12
935,9,45,12
935,10,45,12
935,11,45,12
935,12,47,12
935,13,49,12
935,14,32,9
935,15,28,9
935,16,42,9
935,17,44,10
935,18,47,9
935,19,31,5
935,20,26,5
935,21,37,4
935,22,31,3
936,1,20,5
936,2,26,8
936,3,27,8
936,4,26,8
936,5,24,8
936,6,24,8
936,7,24,8
936,8,24,6
936,9,20,4
936,10,16,2
936,11,16,4
936,12,22,7
936,13,40,8
936,14,0,2
937,1,20,5
937,2,26,8
937,3,27,8
937,4,26,8
937,5,41,9
937,6,42,10
937,7,45,10
937,8,45,11
937,9,47,11
937,10,45,10
937,11,47,12
937,12,51,14
937,13,53,15
937,14,54,15
937,15,55,16
937,16,58,16
937,17,67,15
937,18,61,16
937,19,65,18
937,20,71,20
937,21,71,19
937,22,73,21
937,23,89,25
938,1,20,5
938,2,24,7
938,3,26,8
938,4,25,8
938,5,26,8
938,6,24,8
938,7,39,9
938,8,42,9
938,9,45,10
938,10,47,13
938,11,51,14
938,12,51,13
938,13,51,12
938,14,34,9
938,15,30,11
938,16,33,11
938,17,45,11
938,18,48,13
938,19,51,13
938,20,47,8
938,21,27,5
938,22,20,6
938,23,24,6
938,24,35,4
938,25,32,2
938,26,31,3
939,1,20,5
939,2,26,8
939,3,27,8
939,4,26,8
939,5,39,9
939,6,44,11
939,7,50,13
939,8,48,13
939,9,49,13
939,10,51,15
939,11,53,14
939,12,52,11
939,13,34,12
939,14,55,15
939,15,58,17
939,16,59,15
939,17,60,18
939,18,81,19
939,19,82,20
939,20,66,18
939,21,60,17
939,22,85,20
939,23,83,23
939,24,87,24
939,25,89,25
939,26,90,26
939,27,93,27
939,28,92,26
