game,rounds_played,outcome,time_taken_seconds,rank,elimination_order
928,31,won,59,1,"[Germans, Chinese, Italians, Russians]"
929,25,lost,45,2,"[Germans, Chinese, Russians, Italians]"
930,28,won,48,1,"[Chinese, Germans, Italians, Russians]"
931,21,lost,37,4,[Russians]
932,26,won,45,1,"[Chinese, Germans, Italians, Russians]"
933,34,lost,66,2,"[Germans, Chinese, Russians]"
934,24,lost,42,3,"[Germans, Russians]"
935,23,lost,41,2,"[Germans, Chinese, Russians, Italians]"
936,15,lost,27,3,"[Germans, Russians, Chinese]"
937,24,won,42,1,"[Chinese, Germans, Italians, Russians]"
938,27,lost,47,2,"[Chinese, Germans, Russians, Italians]"
939,35,won,64,1,"[Germans, Chinese, Italians, Russians]"
940,30,won,51,1,"[Chinese, Germans, Italians, Russians]"
941,24,lost,42,4,[Russians]
942,20,won,35,1,"[Germans, Chinese, Italians, Russians]"
943,19,lost,31,3,"[Germans, Russians]"
944,23,won,39,1,"[Germans, Italians, Chinese, Russians]"
945,38,lost,76,2,"[Germans, Chinese, Russians]"
946,14,lost,25,3,"[Germans, Russians, Chinese]"
947,34,lost,62,2,"[Chinese, Germans, Russians]"
948,23,lost,40,2,"[Germans, Chinese, Russians]"
949,27,won,47,1,"[Germans, Chinese, Italians, Russians]"
950,19,won,33,1,"[Germans, Chinese, Italians, Russians]"
951,62,lost,139,2,"[Germans, Chinese, Russians]"
952,23,lost,42,2,"[Germans, Chinese, Russians, Italians]"
953,22,won,38,1,"[Germans, Italians, Chinese, Russians]"
954,35,lost,64,2,"[Germans, Chinese, Russians]"
955,24,lost,41,3,"[Germans, Russians]"
956,24,lost,41,3,"[Germans, Russians]"
957,26,won,46,1,"[Germans, Chinese, Italians, Russians]"
958,15,lost,26,3,"[Germans, Russians]"
959,21,lost,37,3,"[Germans, Russians]"
960,34,won,63,1,"[Germans, Chinese, Italians, Russians]"
961,35,won,64,1,"[Germans, Chinese, Italians, Russians]"
962,22,lost,37,3,"[Germans, Russians]"
963,18,lost,32,3,"[Germans, Russians]"
964,33,lost,61,2,"[Germans, Chinese, Russians]"
965,41,lost,75,2,"[Chinese, Germans, Russians]"
966,18,won,31,1,"[Germans, Chinese, Italians, Russians]"
967,28,won,48,1,"[Germans, Chinese, Italians, Russians]"
968,24,lost,42,3,"[Germans, Russians, Chinese]"
969,21,won,36,1,"[Chinese, Germans, Italians, Russians]"
970,19,lost,30,3,"[Germans, Russians]"
971,29,lost,51,2,"[Germans, Chinese, Russians, Italians]"
972,51,lost,107,2,"[Chinese, Germans, Russians]"
973,24,won,42,1,"[Germans, Chinese, Italians, Russians]"
974,24,won,41,1,"[Germans, Chinese, Italians, Russians]"
975,25,won,43,1,"[Germans, Italians, Chinese, Russians]"
976,40,won,75,1,"[Germans, Chinese, Italians, Russians]"
977,31,won,54,1,"[Germans, Chinese, Italians, Russians]"
978,25,lost,47,2,"[Chinese, Italians, Russians]"
979,21,won,38,1,"[Italians, Chinese, Germans, Russians]"
980,33,lost,66,2,"[Chinese, Italians, Russians]"
981,17,lost,32,2,"[Chinese, Italians, Russians]"
982,22,lost,41,2,"[Chinese, Italians, Russians]"
983,19,lost,35,2,"[Chinese, Italians, Russians, Germans]"
984,17,lost,32,2,"[Chinese, Italians, Russians, Germans]"
985,18,lost,33,2,"[Italians, Chinese, Russians]"
986,49,won,105,1,"[Chinese, Italians, Germans, Russians]"
987,19,lost,35,2,"[Chinese, Italians, Russians]"
988,19,lost,35,2,"[Chinese, Italians, Russians]"
989,15,lost,28,2,"[Chinese, Italians, Russians]"
990,23,lost,41,2,"[Chinese, Italians, Russians]"
991,25,lost,46,2,"[Chinese, Italians, Russians]"
992,23,lost,43,2,"[Chinese, Italians, Russians]"
993,30,lost,58,2,"[Chinese, Italians, Russians]"
994,16,lost,30,2,"[Italians, Chinese, Russians, Germans]"
995,23,lost,43,2,"[Chinese, Italians, Russians, Germans]"
996,17,lost,31,2,"[Chinese, Italians, Russians]"
997,27,lost,51,2,"[Italians, Chinese, Russians]"
998,21,lost,39,2,"[Italians, Chinese, Russians]"
999,15,lost,28,2,"[Chinese, Italians, Russians]"
1000,15,lost,29,2,"[Chinese, Italians, Russians, Germans]"
1001,23,lost,43,2,"[Chinese, Italians, Russians, Germans]"
