game,player,opponent
928,Russians,Italians
929,Russians,Italians
930,Russians,Italians
931,Russians,Italians
932,Russians,Italians
933,Russians,Italians
934,Russians,Italians
935,Russians,Italians
936,Russians,Italians
937,Russians,Italians
938,Russians,Italians
939,Russians,Italians
940,Russians,Italians
941,Russians,Italians
942,Russians,Italians
943,Russians,Italians
944,Russians,Italians
945,Russians,Italians
946,Russians,Italians
947,Russians,Italians
948,Russians,Italians
949,Russians,Italians
950,Russians,Italians
951,Russians,Italians
952,Russians,Italians
953,Russians,Italians
954,Russians,Italians
955,Russians,Italians
956,Russians,Italians
957,Russians,Italians
958,Russians,Italians
959,Russians,Italians
960,Russians,Italians
961,Russians,Italians
962,Russians,Italians
963,Russians,Italians
964,Russians,Italians
965,Russians,Italians
966,Russians,Italians
967,Russians,Italians
968,Russians,Italians
969,Russians,Italians
970,Russians,Italians
971,Russians,Italians
972,Russians,Italians
973,Russians,Italians
974,Russians,Italians
975,Russians,Italians
976,Russians,Italians
977,Russians,Italians
978,Russians,Germans
979,Russians,Germans
980,Russians,Germans
981,Russians,Germans
982,Russians,Germans
983,Russians,Germans
984,Russians,Germans
985,Russians,Germans
986,Russians,Germans
987,Russians,Germans
988,Russians,Germans
989,Russians,Germans
990,Russians,Germans
991,Russians,Germans
992,Russians,Germans
993,Russians,Germans
994,Russians,Germans
995,Russians,Germans
996,Russians,Germans
997,Russians,Germans
998,Russians,Germans
999,Russians,Germans
1000,Russians,Germans
1001,Russians,Germans
1002,Russians,Germans
1003,Russians,Germans
1004,Russians,Germans
1005,Russians,Germans
1006,Russians,Germans
1007,Russians,Germans
1008,Russians,Germans
1009,Russians,Germans
1010,Russians,Germans
1011,Russians,Germans
1012,Russians,Germans
1013,Russians,Germans
1014,Russians,Germans
1015,Russians,Germans
1016,Russians,Germans
1017,Russians,Germans
1018,Russians,Germans
1019,Russians,Germans
1020,Russians,Germans
1021,Russians,Germans
1022,Russians,Germans
1023,Russians,Germans
1024,Russians,Germans
1025,Russians,Germans
1026,Russians,Germans
1027,Russians,Germans
1028,Russians,Chinese
1029,Russians,Chinese
1030,Russians,Chinese
1031,Russians,Chinese
1032,Russians,Chinese
1033,Russians,Chinese
1034,Russians,Chinese
1035,Russians,Chinese
1036,Russians,Chinese
1037,Russians,Chinese
1038,Russians,Chinese
1039,Russians,Chinese
1040,Russians,Chinese
1041,Russians,Chinese
1042,Russians,Chinese
1043,Russians,Chinese
1044,Russians,Chinese
1045,Russians,Chinese
1046,Russians,Chinese
1047,Russians,Chinese
1048,Russians,Chinese
1049,Russians,Chinese
1050,Russians,Chinese
1051,Russians,Chinese
1052,Russians,Chinese
1053,Russians,Chinese
1054,Russians,Chinese
1055,Russians,Chinese
1056,Russians,Chinese
1057,Russians,Chinese
1058,Russians,Chinese
1059,Russians,Chinese
1060,Russians,Chinese
1061,Russians,Chinese
1062,Russians,Chinese
1063,Russians,Chinese
1064,Russians,Chinese
1065,Russians,Chinese
1066,Russians,Chinese
1067,Russians,Chinese
1068,Russians,Chinese
1069,Russians,Chinese
1070,Russians,Chinese
1071,Russians,Chinese
1072,Russians,Chinese
1073,Russians,Chinese
1074,Russians,Chinese
1075,Russians,Chinese
1076,Russians,Chinese
1077,Russians,Chinese
1078,Italians,Russians
1079,Italians,Russians
1080,Italians,Russians
1081,Italians,Russians
1082,Italians,Russians
1083,Italians,Russians
1084,Italians,Russians
1085,Italians,Russians
1086,Italians,Russians
1087,Italians,Russians
1088,Italians,Russians
1089,Italians,Russians
1090,Italians,Russians
1091,Italians,Russians
1092,Italians,Russians
1093,Italians,Russians
1094,Italians,Russians
1095,Italians,Russians
1096,Italians,Russians
1097,Italians,Russians
1098,Italians,Russians
1099,Italians,Russians
1100,Italians,Russians
1101,Italians,Russians
1102,Italians,Russians
1103,Italians,Russians
1104,Italians,Russians
1105,Italians,Russians
1106,Italians,Russians
1107,Italians,Russians
1108,Italians,Russians
1109,Italians,Russians
1110,Italians,Russians
1111,Italians,Russians
1112,Italians,Russians
1113,Italians,Russians
1114,Italians,Russians
1115,Italians,Russians
1116,Italians,Russians
1117,Italians,Russians
1118,Italians,Russians
1119,Italians,Russians
1120,Italians,Russians
1121,Italians,Russians
