game,round,num_iterations,value
1,1,15,-0.49819412982392625
1,2,13,-0.49650985273258763
1,3,12,-0.5
1,4,14,-0.4402854411427297
1,5,10,-0.4335792945477349
1,6,10,-0.4305449655155148
1,7,9,-0.4374773536028395
1,8,8,-0.4128711856782843
1,9,7,-0.2272437664321953
1,10,8,-0.07952013365862068
1,11,10,-0.17594640609189627
1,12,8,-0.16233422603784037
1,13,9,-0.10655377362637936
1,14,8,-0.09476633655383028
1,15,6,0.236180739199333
1,16,5,0.23713156596570323
1,17,5,0.4481993070450421
1,18,3,0.5
1,19,2,0.6
1,20,2,0.6
1,21,2,0.6
1,22,2,0.6
1,23,2,0.59
1,24,3,0.68
1,25,3,0.68
1,26,2,0.6799999999999999
1,27,2,0.6799999999999999
1,28,2,0.72
1,29,4,0.8
1,30,13,0.9384615384615385
