game,round,pu_after,territories_before,territories_after
1,1,16,2,4
1,2,22,4,7
1,3,26,7,9
1,4,24,8,8
1,5,24,7,7
1,6,24,7,7
1,7,24,7,8
1,8,24,8,8
1,9,26,8,9
1,10,28,9,10
1,11,43,10,11
1,12,47,11,12
1,13,47,12,12
1,14,49,12,13
1,15,53,13,15
1,16,53,14,15
1,17,49,12,14
1,18,47,12,13
1,19,49,11,14
1,20,75,13,15
1,21,63,14,17
1,22,69,17,20
1,23,101,20,23
1,24,87,23,25
1,25,89,25,26
2,1,18,2,2
2,1,16,2,4
2,2,20,4,6
2,3,22,5,6
2,4,24,6,7
2,5,22,7,7
2,6,26,7,9
2,7,26,9,9
2,8,26,9,9
2,9,26,9,9
2,10,24,8,8
2,11,24,7,8
2,12,24,8,8
2,13,26,8,9
2,14,26,9,9
2,15,28,9,10
2,16,30,10,11
2,17,45,10,12
2,18,77,11,14
2,19,63,14,16
2,20,67,16,18
2,21,69,17,20
3,1,18,2,2
3,1,16,2,4
3,2,20,4,6
3,3,22,5,6
3,4,20,6,5
3,5,18,5,4
3,6,16,4,4
3,7,18,4,5
3,8,20,5,6
3,9,22,6,7
3,10,26,7,9
3,11,26,9,8
3,12,24,8,7
3,13,22,7,7
3,14,24,7,8
3,15,28,8,10
3,16,45,10,12
3,17,77,11,13
3,18,59,13,15
3,19,61,14,16
3,20,65,15,18
3,21,67,17,19
3,22,71,19,21
3,23,77,21,24
4,1,18,2,2
4,1,16,2,4
4,2,18,4,5
4,3,18,5,5
4,4,20,5,6
4,5,24,6,8
4,6,26,8,8
4,7,24,8,8
6,1,16,2,4
6,2,20,4,6
6,3,22,5,6
6,4,20,6,5
6,5,22,5,7
6,6,26,7,8
6,7,24,8,7
6,8,22,7,7
6,9,24,7,8
6,10,24,8,8
6,11,24,8,8
6,12,24,8,8
6,13,28,8,10
6,14,30,10,11
6,15,47,11,13
6,16,86,13,15
6,17,63,14,17
6,18,67,16,19
6,19,71,18,21
6,20,114,20,23
6,21,83,22,23
6,22,87,23,25
6,23,93,25,28
7,1,18,2,2
7,1,16,2,4
7,2,20,4,6
7,3,22,6,7
7,4,24,7,8
7,5,24,8,8
7,6,24,8,8
7,7,26,8,9
7,8,28,9,10
7,9,28,10,9
7,10,26,9,8
7,11,24,8,7
7,12,26,7,9
7,13,28,9,10
7,14,72,10,12
7,15,42,11,13
7,16,46,13,15
7,17,65,15,18
7,18,101,17,20
7,19,81,20,21
7,20,87,21,25
8,1,18,2,2
8,1,14,2,3
8,2,18,3,5
8,3,20,5,6
8,4,24,6,8
8,5,41,8,9
8,6,41,9,9
8,7,41,9,10
8,8,47,10,13
8,9,49,12,14
8,10,45,12,12
8,11,28,9,10
8,12,26,8,9
8,13,60,9,12
8,14,44,12,14
8,15,59,14,15
8,16,61,15,16
8,17,67,16,19
8,18,71,19,21
8,19,103,21,24
9,1,18,2,2
9,1,16,2,4
9,2,20,4,6
9,3,20,6,6
9,4,20,6,6
9,5,22,6,6
9,6,22,6,7
9,7,26,7,9
9,8,30,9,10
9,9,58,10,11
9,10,57,11,13
9,11,63,13,17
9,12,65,17,18
9,13,65,18,18
9,14,69,18,20
9,15,75,20,23
10,1,18,2,2
10,1,16,2,4
10,2,20,4,6
10,3,20,6,6
10,4,22,6,7
10,5,24,7,8
10,6,26,8,8
10,7,24,8,7
10,8,22,7,7
10,9,24,7,8
10,10,26,8,9
10,11,28,9,10
10,12,30,10,11
10,13,62,11,13
10,14,59,13,14
10,15,65,14,17
10,16,63,16,17
10,17,69,17,19
10,18,63,17,16
10,19,57,14,13
10,20,42,12,13
10,21,42,10,13
10,22,91,11,14
10,23,71,14,17
10,24,75,17,18
10,25,79,18,21
10,26,87,21,25
10,27,93,25,28
1,1,16,2,4
1,2,22,4,7
1,3,26,7,9
1,4,24,7,8
1,5,37,6,8
1,6,39,8,9
1,7,45,9,12
1,8,43,11,11
1,9,39,9,9
1,10,26,7,9
1,11,26,9,9
1,12,26,9,9
1,13,28,9,10
1,14,30,10,11
1,15,47,11,13
1,16,49,13,14
1,17,49,12,14
1,18,53,12,16
1,19,51,13,15
1,20,53,15,16
1,21,53,14,16
1,22,38,13,15
1,23,30,9,11
1,24,77,10,12
1,25,59,11,15
1,26,69,15,20
1,27,83,20,23
1,28,87,22,25
2,1,21,2,2
2,1,16,2,4
2,2,18,4,5
2,3,18,5,5
2,4,22,5,7
2,5,26,7,9
2,6,30,9,11
2,7,41,9,10
2,8,39,8,9
2,9,41,8,10
2,10,47,9,13
2,11,49,12,14
2,12,32,12,12
2,13,30,9,11
2,14,34,10,13
2,15,47,11,13
2,16,49,11,14
2,17,49,12,14
2,18,45,11,12
2,19,32,10,12
2,20,34,7,9
2,21,32,6,8
2,22,30,6,7
2,23,28,5,6
2,24,30,5,7
2,25,30,6,7
2,26,26,4,5
2,27,18,3,5
2,28,20,5,6
2,29,22,5,7
2,30,39,6,9
2,31,37,7,8
2,32,0,4,4
2,33,0,4,1
3,1,21,2,2
3,1,14,2,3
3,2,16,3,4
3,3,20,4,6
3,4,22,6,7
3,5,22,6,7
3,6,22,6,7
3,7,39,7,9
3,8,41,8,10
3,9,43,9,11
3,10,47,11,13
3,11,32,11,12
3,12,30,9,11
3,13,30,9,11
3,14,41,9,10
3,15,43,8,11
3,16,41,10,10
3,17,41,9,10
3,18,45,10,12
3,19,47,12,13
3,20,51,12,15
3,21,127,15,18
3,22,77,18,20
3,23,81,19,22
3,24,87,22,25
4,1,21,2,2
4,1,14,2,3
4,2,18,3,5
4,3,24,5,8
4,4,26,8,9
4,5,26,8,9
4,6,26,8,9
4,7,26,8,9
4,8,24,8,8
4,9,22,7,7
4,10,22,7,7
4,11,22,7,7
4,12,24,7,8
4,13,26,8,9
4,14,28,9,10
4,15,52,10,12
4,16,42,12,13
4,17,59,13,15
4,18,63,15,17
4,19,67,16,19
4,20,104,18,20
4,21,79,19,21
4,22,83,20,23
4,23,89,23,26
4,24,93,26,28
5,1,21,2,2
5,1,14,2,3
5,2,16,3,4
5,3,20,4,6
5,4,20,6,6
5,5,20,6,6
5,6,22,6,7
5,7,24,7,8
5,8,26,8,9
5,9,30,9,11
5,10,47,11,13
5,11,49,12,14
5,12,47,12,13
5,13,49,12,14
5,14,47,12,13
5,15,51,11,15
5,16,47,12,13
5,17,30,10,11
5,18,26,8,9
5,19,45,8,12
5,20,81,12,13
5,21,57,12,14
5,22,55,12,13
5,23,59,11,15
5,24,65,15,18
5,25,73,18,22
5,26,73,21,22
5,27,85,21,24
6,1,14,2,3
6,2,18,3,5
6,3,24,5,8
6,4,24,7,8
6,5,22,6,7
6,6,37,6,8
6,7,41,8,10
6,8,45,10,12
6,9,49,11,14
6,10,32,11,12
6,11,43,9,11
6,12,45,10,12
6,13,43,10,11
6,14,45,10,12
6,15,49,12,14
6,16,49,13,14
6,17,68,12,15
6,18,78,14,17
6,19,62,16,19
6,20,79,19,21
6,21,83,21,23
6,22,89,23,26
6,23,93,26,28
7,1,21,2,2
7,1,14,2,3
7,2,16,3,4
7,3,20,4,6
7,4,22,5,7
7,5,22,6,7
7,6,39,7,9
7,7,43,9,11
7,8,47,11,13
7,9,49,12,14
7,10,49,13,14
7,11,34,12,13
7,12,79,11,13
7,13,59,13,15
7,14,63,14,17
7,15,67,16,19
7,16,71,19,21
7,17,99,21,24
8,1,21,2,2
8,1,14,2,3
8,2,18,3,5
8,3,22,5,7
8,4,22,6,7
8,5,20,6,6
8,6,22,6,7
8,7,24,7,8
8,8,26,8,9
8,9,26,8,9
8,10,24,8,8
8,11,26,8,9
8,12,30,9,11
8,13,82,11,15
8,14,61,14,16
8,15,63,15,17
8,16,63,15,17
8,17,69,17,20
8,18,69,19,20
8,19,95,19,21
8,20,81,19,22
8,21,87,22,25
9,1,21,2,2
9,1,14,2,3
9,2,16,3,4
9,3,20,4,6
9,4,24,6,8
9,5,24,7,8
9,6,22,7,7
9,7,26,7,9
9,8,26,9,9
9,9,26,9,9
9,10,28,9,10
9,11,28,10,10
9,12,43,9,11
9,13,73,10,12
9,14,59,12,15
9,15,63,15,17
9,16,69,17,20
9,17,69,18,20
9,18,96,18,20
9,19,83,20,23
9,20,85,22,24
9,21,91,24,27
10,1,21,2,2
10,1,14,2,3
10,2,16,3,4
10,3,18,4,5
10,4,20,5,6
10,5,22,6,7
10,6,24,7,8
10,7,22,7,7
10,8,22,6,7
10,9,24,7,8
10,10,24,8,8
10,11,28,8,10
10,12,28,9,10
10,13,43,9,11
10,14,45,10,12
10,15,47,11,13
10,16,49,12,14
10,17,53,13,16
10,18,53,15,16
10,19,34,13,13
10,20,24,7,8
10,21,22,6,7
10,22,39,6,9
10,23,43,9,11
10,24,45,10,12
10,25,43,10,11
10,26,37,7,8
10,27,24,6,8
10,28,24,6,8
10,29,20,5,6
10,30,24,5,8
10,31,39,8,9
10,32,22,6,7
10,33,18,5,5
10,34,20,4,6
10,35,16,4,4
