game,rounds_played,outcome
1,13,lost
2,14,lost
3,11,lost
4,13,lost
5,16,lost
6,25,lost
7,22,lost
8,22,lost
9,12,lost
10,19,lost
11,20,lost
12,18,lost
13,14,lost
14,26,lost
15,17,lost
16,11,lost
17,13,lost
18,16,lost
19,13,lost
20,15,lost
21,36,lost
22,23,lost
23,17,lost
24,16,lost
25,27,lost
26,13,lost
27,11,lost
28,11,lost
29,14,lost
30,23,lost
31,15,lost
32,21,lost
33,17,lost
34,13,lost
35,20,lost
36,14,lost
37,11,lost
38,12,lost
39,19,lost
40,11,lost
41,12,lost
42,25,lost
43,12,lost
44,16,lost
45,21,lost
46,15,lost
47,29,lost
48,23,lost
49,23,lost
50,25,lost
51,32,lost
52,27,lost
53,24,won
54,38,lost
55,23,won
56,30,lost
57,25,won
58,24,won
59,20,won
60,26,won
61,18,won
62,22,won
63,39,lost
64,40,lost
65,19,won
66,30,won
67,22,won
68,20,won
69,42,lost
70,98,lost
71,29,won
72,34,lost
73,21,lost
74,22,won
75,32,lost
