game,round,num_iterations,value
1,1,78,-0.49743535056646365
1,2,59,-0.49923467019513684
1,3,61,-0.48566868886992515
1,4,70,-0.49006247400449815
1,5,49,-0.4070019264986542
1,6,48,-0.36192801674874525
1,7,48,-0.3941850407842386
1,8,35,-0.3201257132968065
1,9,37,-0.3720943160011027
1,10,41,-0.2994024677697627
1,11,31,-0.3742130497868546
1,12,35,-0.29300792894467964
1,13,25,0.18379629908116768
1,14,23,0.0889896399644463
1,15,15,0.4634693561775795
1,16,9,0.5333333333333334
1,17,8,0.5475
1,18,9,0.6711111111111109
1,19,10,0.7119999999999999
1,20,13,0.7907692307692307
1,21,41,0.9473170731707317
2,1,81,-0.4935822793356342
2,2,62,-0.4946597011997372
2,3,60,-0.4954021692831512
2,4,65,-0.4656816624941982
2,5,60,-0.47363064513040326
2,6,58,-0.4974334707537049
2,7,53,-0.4962235234009101
2,8,47,-0.45231237308180555
2,9,49,-0.4667527307525287
2,10,53,-0.43346197068166575
2,11,29,-0.31741099846498644
2,12,25,-0.32489957749511916
2,13,27,-0.4493456820473433
2,14,18,-0.41181715799262336
2,15,21,-0.34851709695746996
2,16,21,-0.09626094216632401
2,17,17,-0.1573947976408231
2,18,25,0.08737090630965652
2,19,23,0.26678603759904357
2,20,20,0.1456373201666927
2,21,17,0.4365889208070279
2,22,14,0.37915487936231695
2,23,13,0.37766658984605894
2,24,11,0.44717582024704794
2,25,238,0.9831932773109243
3,1,76,-0.49516600862829546
3,2,59,-0.4802403385858259
3,3,51,-0.4896971276752905
3,4,52,-0.47217026008621105
3,5,56,-0.46382421038807786
3,6,50,-0.4950302511417907
3,7,46,-0.49892868602178625
3,8,58,-0.37607635222271873
3,9,51,-0.3598730232988629
3,10,50,-0.40983437401088596
3,11,34,-0.2472793116951476
3,12,26,-0.3329255791697107
3,13,23,0.13975721781831252
3,14,26,-0.4055548524103637
3,15,24,-0.3973273334284797
3,16,22,-0.45787389218210595
3,17,22,-0.4258498966517365
3,18,29,-0.20215840374287541
3,19,23,-0.28682735177615787
3,20,22,0.19951816336608033
3,21,20,0.42900904005852236
3,22,15,0.33196006037741616
3,23,14,0.4236567437913336
3,24,14,0.3821407780305526
3,25,11,0.6145454545454544
3,26,12,0.69
3,27,27,0.8192592592592592
3,28,101,0.9651485148514856
4,1,77,-0.4878139052458948
4,2,56,-0.4996849166676753
4,3,54,-0.4921740931600911
4,4,64,-0.47010818242177654
4,5,59,-0.45033576587649893
4,6,66,-0.4477749657007475
4,7,58,-0.4061850405216282
4,8,49,-0.3832525693164134
4,9,44,-0.468134065419167
4,10,35,-0.41919574695942674
4,11,23,-0.3985994548530677
4,12,39,-0.4242857011967286
4,13,33,-0.2055243253497171
4,14,31,-0.21574407341763557
4,15,28,-0.2574388969288069
4,16,24,-0.3451564778832131
4,17,16,-0.4738759205946789
4,18,13,-0.4596949912208873
4,19,15,-0.35653796224499146
4,20,17,-0.44434474852449607
4,21,7,-0.5
4,22,7,-0.5
4,23,41,-0.9200000000000008
5,1,78,-0.49602833102778693
5,2,60,-0.4914249986562141
5,3,56,-0.4908649538231299
5,4,63,-0.4721568562743786
5,5,54,-0.3875745143600011
5,6,44,-0.30695168232843656
5,7,44,-0.39949790338806496
5,8,39,-0.3386711354666058
5,9,37,-0.3045795127276705
5,10,33,-0.36301279909777484
5,11,28,-0.32032324480161006
5,12,26,-0.3873749938689136
5,13,25,-0.4116808184368855
5,14,25,-0.1716415317208368
5,15,25,-0.2504863680827992
5,16,29,-0.033078995914848815
5,17,22,0.0774946550189519
5,18,19,0.19010178616706994
5,19,19,0.16379853106466485
5,20,16,0.1604829258883596
5,21,12,0.43277475977414587
5,22,16,0.5677783012000012
5,23,15,0.5614614810512049
5,24,11,0.48682150339654556
5,25,9,0.5146110201237841
5,26,10,0.5343542914426009
5,27,8,0.499747798972854
5,28,74,0.9616216216216218
6,1,77,-0.4977513660950141
6,2,67,-0.4943761536085368
6,3,56,-0.48191107032286074
6,4,62,-0.46804950901704845
6,5,56,-0.4889862077767648
6,6,63,-0.48129986410889974
6,7,52,-0.4953821775639711
6,8,45,-0.438564198525606
6,9,40,-0.42067105323139575
6,10,30,-0.3471493183812251
6,11,29,-0.3206404699142862
6,12,28,-0.28234958713430885
6,13,24,-0.1668850978006483
6,14,29,0.1266796232906488
6,15,25,-0.43700296849003734
6,16,27,-0.3541711118565781
6,17,26,-0.36599014835182164
6,18,24,-0.23218858032672726
6,19,22,-0.20698902354001208
6,20,27,-0.3242401609545378
6,21,15,-0.2622893806606644
6,22,20,-0.04770298558700251
6,23,17,0.018881852248400628
6,24,17,0.024536081105798725
6,25,17,0.016340871891562896
6,26,16,0.03064247050335729
6,27,18,-0.12350723565189174
6,28,16,-0.006477934905493747
6,29,16,-0.10082615169854112
6,30,16,-0.12604568942081315
6,31,16,0.31616604459545344
6,32,14,-0.40442441033416854
6,33,12,-0.23609051244153964
6,34,13,-0.30594428339579693
6,35,14,-0.00475080823114246
6,36,13,0.08245766324139871
6,37,14,0.010674466074641413
6,38,14,-0.16757149015563313
6,39,14,-0.22290520979566983
6,40,15,-0.1927837970418377
6,41,14,-0.24286592377880264
6,42,16,-0.2839898689523481
6,43,16,-0.28205898297094145
6,44,12,-0.48616029352948337
6,45,16,0.055603898284321954
6,46,14,-0.38602279277360946
6,47,11,-0.4889953502464719
6,48,10,-0.4796489694856548
6,49,8,-0.55
6,50,8,-0.545
6,51,10,-0.51
6,52,12,-0.5883333333333333
6,53,9,-0.62
6,54,12,-0.8133333333333331
6,55,5,-0.76
6,56,9,-0.7955555555555555
7,1,79,-0.4955264043268867
7,2,58,-0.4946878783522373
7,3,52,-0.47247497345787204
7,4,51,-0.41233814520656703
7,5,46,-0.3645221693770468
7,6,42,-0.4235699585009092
7,7,42,-0.38561298737839733
7,8,42,-0.33848710828884104
7,9,39,-0.41223010338399546
7,10,39,-0.34498871863372427
7,11,33,-0.26465238536681424
7,12,22,-0.1979153260828066
7,13,30,-0.17414479531009622
7,14,26,-0.3550687521374236
7,15,18,-0.30010654839304984
7,16,19,-0.13778605926038198
7,17,22,-0.1175191319483491
7,18,24,-0.07994873131770235
7,19,19,0.29444103075705397
7,20,18,0.4359430658562934
7,21,17,0.38165689103624134
7,22,15,0.4274872452193863
7,23,9,0.532485632183908
7,24,10,0.4450110760022061
7,25,11,0.308671883235313
7,26,11,0.48770573514000276
7,27,13,0.31169079064391264
7,28,10,0.5479017304534545
7,29,9,0.5332354551015809
7,30,9,0.6444444444444444
7,31,145,0.9776551724137932
8,1,78,-0.49481829328073673
8,2,64,-0.49116461187936267
8,3,54,-0.48814984918702636
8,4,57,-0.44387356082788865
8,5,60,-0.46832001140121376
8,6,59,-0.4531902916610028
8,7,50,-0.4114865438278392
8,8,48,-0.3988894239905932
8,9,43,-0.41323685714082947
8,10,29,-0.40933958638944823
8,11,24,-0.4420300038557298
8,12,28,-0.5
8,13,25,-0.4990224117403954
8,14,23,-0.5
8,15,24,-0.4997486973830572
8,16,25,-0.5
8,17,22,-0.49714696806426334
8,18,17,-0.5
8,19,13,-0.5
8,20,14,-0.5
9,1,76,-0.4966669915681576
9,2,56,-0.49842102058209103
9,3,58,-0.4369560645662192
9,4,54,-0.4407925360265046
9,5,49,-0.4077783988601221
9,6,47,-0.46707226974023874
9,7,39,-0.40827825945650337
9,8,38,-0.3940748051500022
9,9,31,-0.38522795981045815
9,10,38,-0.2538544628377507
9,11,23,0.10168009087340049
9,12,23,0.3263191132486954
9,13,15,0.4601257150640351
9,14,11,0.5244035878381792
9,15,8,0.5375000000000001
9,16,9,0.6488888888888887
9,17,15,0.7759999999999999
9,18,77,0.9605194805194807
10,1,79,-0.49028215743307174
10,2,58,-0.49366339129460635
10,3,57,-0.45384058407492933
10,4,60,-0.47320961245212234
10,5,55,-0.4341206605517883
10,6,48,-0.3756332721379741
10,7,45,-0.3580964468611857
10,8,41,-0.3288727397964734
10,9,42,-0.3193103968742553
10,10,24,-0.22870117691277095
10,11,19,0.2647219070420692
10,12,20,0.3872353955355917
10,13,16,0.35615549128006363
10,14,16,0.4217692970787641
10,15,14,0.4664673102612621
10,16,12,0.42948635296562926
10,17,11,0.4172776211888498
10,18,10,0.4737037175902077
10,19,10,0.5
10,20,9,0.5143395515357077
10,21,8,0.585
10,22,9,0.58
10,23,11,0.7527272727272727
10,24,32,0.9375
10,25,49,0.9510204081632652
11,1,77,-0.4937118244978084
11,2,57,-0.4808111154615413
11,3,53,-0.46112497500147925
11,4,50,-0.46355074620458175
11,5,59,-0.40137850119901136
11,6,51,-0.4060528982206161
11,7,49,-0.4226233694614606
11,8,39,-0.3030245564815152
11,9,39,-0.426549887648823
11,10,37,-0.3069786499180291
11,11,40,-0.30531729896965687
11,12,41,-0.08845761724241438
11,13,40,-0.2083625603407307
11,14,43,-0.13990115119629515
11,15,29,0.26851439355228074
11,16,31,0.0204089700155318
11,17,19,0.43189059303895216
11,18,10,0.5
11,19,8,0.5
11,20,7,0.5571428571428572
11,21,9,0.6599999999999998
11,22,13,0.7661538461538461
11,23,176,0.9827272727272729
12,1,78,-0.4983733669734579
12,2,63,-0.49477324484251545
12,3,61,-0.4953335288977377
12,4,63,-0.48221908133358765
12,5,61,-0.44352745913491004
12,6,53,-0.41455649559251256
12,7,58,-0.4665862486847795
12,8,56,-0.38140109230532576
12,9,54,-0.3755544763051628
12,10,35,-0.35775159045086935
12,11,28,-0.3429504943337073
12,12,30,-0.4100968300869923
12,13,29,-0.4279717036666999
12,14,34,-0.3802966258928432
12,15,28,-0.46236586336760643
12,16,22,-0.47502779947237544
12,17,26,-0.5
12,18,28,-0.4984503427236407
12,19,24,-0.4985379754873944
12,20,23,-0.49962518740629686
12,21,24,-0.5
12,22,26,-0.5
12,23,22,-0.5
12,24,21,-0.5
12,25,18,-0.5
12,26,22,-0.5
12,27,22,-0.5
12,28,23,-0.5
12,29,23,-0.5
12,30,27,-0.4891405443973897
12,31,29,-0.4995289574447196
12,32,27,-0.485123841484338
12,33,22,-0.5
12,34,20,-0.5
12,35,18,-0.5
12,36,18,-0.5
12,37,11,-0.5
13,1,73,-0.49431890041150395
13,2,58,-0.4704250656403801
13,3,52,-0.46729789763417745
13,4,54,-0.4027454787918891
13,5,59,-0.4637418245330041
13,6,50,-0.46416887027429404
13,7,43,-0.4005244956676387
13,8,44,-0.29131206843350843
13,9,42,-0.19575660380018015
13,10,34,-0.15185435541409575
13,11,38,-0.20539148394420179
13,12,40,-0.2602613267483223
13,13,32,-0.006925406595815287
13,14,35,-0.0845387244825378
13,15,25,0.22679171913393223
13,16,23,0.22380241680360316
13,17,17,0.31085680196827437
13,18,13,0.5062941109975406
13,19,12,0.46088081549333987
13,20,9,0.5666666666666667
13,21,9,0.6044444444444443
13,22,9,0.662222222222222
13,23,11,0.7454545454545454
13,24,16,0.8049999999999999
13,25,75,0.9616000000000005
14,1,71,-0.49818779108239025
14,2,59,-0.49601068292232625
14,3,56,-0.49981527093596056
14,4,53,-0.49225815689079067
14,5,65,-0.4680372131726404
14,6,47,-0.3764921310254174
14,7,47,-0.4019854911027398
14,8,49,-0.46251338392678065
14,9,42,-0.4908262978997188
14,10,47,-0.464816253994868
14,11,29,-0.02352065356397306
14,12,38,-0.12709145357086776
14,13,19,-0.021237841561512757
14,14,11,0.4101445643593987
14,15,8,0.5625
14,16,12,0.7133333333333333
14,17,17,0.8070588235294117
14,18,94,0.9642553191489366
15,1,75,-0.491603031517816
15,2,57,-0.4915634973830159
15,3,65,-0.4888541859763595
15,4,62,-0.47620095251078387
15,5,49,-0.42405699180744494
15,6,47,-0.4547154752091192
15,7,43,-0.3451482366626039
15,8,40,-0.31981889632906646
15,9,37,-0.22503628960960156
15,10,37,-0.31937707916408886
15,11,41,-0.2922855963951757
15,12,37,-0.17084963675720805
15,13,41,-0.29703825272721135
15,14,32,-0.20689476154876932
15,15,37,-0.09053257293966606
15,16,38,-0.0704076785333687
15,17,20,0.12849840024059142
15,18,24,0.4096793098510297
15,19,16,0.5687499999999999
15,20,8,0.4752398271385618
15,21,9,0.49885888381110655
15,22,9,0.6044444444444443
15,23,8,0.6299999999999998
15,24,10,0.7119999999999999
15,25,16,0.8049999999999999
15,26,81,0.9624691358024696
16,1,69,-0.4988341776330526
16,2,63,-0.480918439181658
16,3,53,-0.46745091550388007
16,4,49,-0.48537731745262513
16,5,61,-0.4655197736521606
16,6,62,-0.4873082706342445
16,7,60,-0.4550002721163943
16,8,48,-0.44012922642604085
16,9,58,-0.42001984518972596
16,10,31,-0.41966314754731443
16,11,36,-0.42209990378760254
16,12,38,-0.47807049125050066
16,13,41,-0.4748308630713708
16,14,35,-0.4649241166162714
16,15,33,-0.4654929606260108
16,16,31,-0.358776135583776
16,17,32,-0.04665800726371473
16,18,31,0.15065628754426383
16,19,22,0.4020118345632851
16,20,16,0.4789386767429706
16,21,10,0.53
16,22,12,0.5449999999999999
16,23,13,0.6261538461538461
16,24,12,0.6283333333333332
16,25,16,0.7399999999999999
16,26,23,0.8086956521739131
16,27,87,0.9632183908045981
17,1,75,-0.4969006167267288
17,2,57,-0.4971129208295731
17,3,57,-0.47527690154538926
17,4,57,-0.48684761799116966
17,5,59,-0.48662628820196624
17,6,54,-0.43908278059851996
17,7,59,-0.4920238656424759
17,8,51,-0.4799441147530478
17,9,42,-0.47395614262067715
17,10,33,-0.49524111084273553
17,11,41,-0.46758384387345064
17,12,32,0.0997912747351431
17,13,21,0.027863109514903034
17,14,18,0.24220716524262334
17,15,16,0.3495966303428639
17,16,16,0.3288825298080485
17,17,16,0.36661905487168495
17,18,15,0.35049588888275995
17,19,18,0.5852046970140068
17,20,14,0.5988177339901476
17,21,266,0.9765413533834588
18,1,76,-0.4924659663149446
18,2,64,-0.4884903097626405
18,3,53,-0.45555044268993106
18,4,55,-0.4346827676970946
18,5,52,-0.44788111747299947
18,6,47,-0.44218980739140284
18,7,45,-0.3368995966155252
18,8,37,-0.24749160920339094
18,9,34,-0.20111808590077887
18,10,29,0.021818637986314397
18,11,39,-0.2556047615775034
18,12,38,-0.27839093725823333
18,13,40,-0.30615181598954083
18,14,29,0.03237024077151494
18,15,28,0.21860131284181641
18,16,24,0.10812018619772412
18,17,13,0.4246479619457682
18,18,9,0.5222222222222223
18,19,8,0.5924999999999999
18,20,7,0.5942857142857142
18,21,8,0.6349999999999999
18,22,7,0.5971428571428571
18,23,7,0.6342857142857142
18,24,9,0.7244444444444443
18,25,18,0.8222222222222222
18,26,80,0.9700000000000001
19,1,81,-0.4917894866883824
19,2,59,-0.49118077908548147
19,3,58,-0.4504329271739712
19,4,54,-0.42954913444690784
19,5,47,-0.3735440772222587
19,6,44,-0.33820367393069334
19,7,42,-0.35922256233550576
19,8,41,-0.40298814019118895
19,9,42,-0.3462874095275514
19,10,44,-0.24736388037784052
19,11,34,-0.1008592602247781
19,12,24,0.16815120170795536
19,13,16,0.40547940788436887
19,14,15,0.020005679095108864
19,15,16,0.37340518584416227
19,16,15,0.3848044430059766
19,17,15,0.2073296162912635
19,18,15,-0.0728474582530069
19,19,13,0.195425642040802
19,20,12,0.2954334648009194
19,21,12,0.2576605441552475
19,22,12,0.474272346924356
19,23,595,0.9912690290523015
20,1,75,-0.49321759393243053
20,2,55,-0.48211646423841314
20,3,51,-0.4473869246732089
20,4,51,-0.46734865818595306
20,5,62,-0.4524724228956235
20,6,50,-0.48188764003098256
20,7,53,-0.49049146997425164
20,8,48,-0.5
20,9,53,-0.4541877791985919
20,10,35,-0.44177827234805994
20,11,33,-0.45746926364452445
20,12,31,-0.37388905229091857
20,13,42,-0.4464631353754899
20,14,41,-0.27034694040250185
20,15,47,-0.16291298438965798
20,16,40,-0.013461165694675776
20,17,43,0.032341413373470934
20,18,26,-0.2794261811372739
20,19,27,-0.07337913435155213
20,20,23,0.31941634155652343
20,21,9,0.47949371617693104
20,22,8,0.575
20,23,9,0.642222222222222
20,24,13,0.7353846153846153
20,25,20,0.808
20,26,101,0.9651485148514856
21,1,76,-0.4947374248657581
21,2,57,-0.4982018459253065
21,3,53,-0.44334753725375114
21,4,54,-0.4469254704457872
21,5,54,-0.41996995870594656
21,6,55,-0.45547848837114435
21,7,47,-0.4119716487192336
21,8,39,-0.412858646579577
21,9,42,-0.34643298742692963
21,10,41,-0.3104686985511744
21,11,28,-0.2621571396393065
21,12,23,-0.31949184960782373
21,13,21,-0.3886942915291335
21,14,27,-0.29038167960811695
21,15,32,-0.3410873977292521
21,16,24,-0.2467842150011829
21,17,20,-0.09723212707275382
21,18,23,-0.41907065381108627
