game,round,pu_after,territories_after
1,1,16,4
1,2,18,5
1,3,20,6
1,4,24,8
1,5,26,9
1,6,41,10
1,7,45,12
1,8,45,12
1,9,30,11
1,10,47,13
1,11,47,13
1,12,47,13
1,13,49,14
1,14,49,14
1,15,32,10
1,16,28,10
1,17,30,11
1,18,30,11
1,19,26,9
1,20,41,10
1,21,45,12
1,22,47,13
1,23,49,14
1,24,34,13
1,25,32,11
1,26,28,10
1,27,26,8
1,28,24,8
1,29,22,7
1,30,37,8
1,31,39,9
1,32,35,7
1,33,22,7
1,34,20,6
1,35,16,4
1,36,10,1
1,37,10,1
1,38,0,0
2,1,14,3
2,2,18,5
2,3,20,6
2,4,18,5
2,5,20,6
2,6,20,5
2,7,18,5
2,8,18,5
2,9,16,4
2,10,16,4
2,11,16,4
2,12,14,3
2,13,14,3
2,14,27,3
2,15,25,2
2,16,12,2
2,17,14,3
2,18,16,4
2,19,16,4
2,20,18,5
2,21,18,4
2,22,18,5
2,23,20,6
2,24,20,6
2,25,22,6
2,26,20,5
2,27,33,5
2,28,35,7
2,29,39,8
2,30,24,6
2,31,20,4
2,32,22,7
2,33,24,7
2,34,22,7
2,35,22,7
2,36,22,6
2,37,18,4
2,38,18,5
2,39,18,5
2,40,14,3
2,41,0,2
3,1,14,3
3,2,16,4
3,3,18,5
3,4,20,6
3,5,20,5
3,6,20,6
3,7,20,6
3,8,20,6
3,9,20,6
3,10,22,7
3,11,24,8
3,12,24,7
3,13,24,8
3,14,41,9
3,15,24,7
3,16,20,6
3,17,18,5
3,18,22,7
3,19,20,5
3,20,0,1
3,21,0,0
3,22,0,0
3,23,0,0
3,24,0,0
3,25,0,0
3,26,0,0
3,27,0,0
3,28,0,0
3,29,0,0
3,30,0,0
3,31,0,0
3,32,0,0
4,1,16,4
4,2,20,6
4,3,24,7
4,4,24,7
4,5,22,6
4,6,20,6
4,7,20,6
4,8,22,7
4,9,24,7
4,10,22,6
4,11,18,5
4,12,33,6
4,13,37,8
4,14,39,8
4,15,0,4
4,16,0,1
4,17,0,1
4,18,0,0
4,19,0,0
4,20,0,0
4,21,0,0
4,22,0,0
4,23,0,0
4,24,0,0
4,25,0,0
4,26,0,0
4,27,0,0
4,28,0,0
4,29,0,0
4,30,0,0
4,31,0,0
4,32,0,0
4,33,0,0
4,34,0,0
4,35,0,0
5,1,14,3
5,2,18,5
5,3,20,6
5,4,22,7
5,5,26,9
5,6,26,9
5,7,26,8
5,8,26,9
5,9,24,8
5,10,24,7
5,11,26,8
5,12,20,6
5,13,20,6
5,14,20,6
5,15,22,7
5,16,39,9
5,17,43,11
5,18,49,14
5,19,49,14
5,20,51,15
5,21,34,13
5,22,52,13
5,23,48,16
5,24,63,17
5,25,67,19
5,26,67,19
5,27,63,17
5,28,46,15
5,29,46,15
5,30,50,17
5,31,65,18
5,32,71,21
5,33,73,22
5,34,73,22
5,35,75,23
5,36,99,25
5,37,93,28
5,38,93,28
5,39,113,29
6,1,14,3
6,2,18,5
6,3,18,4
6,4,16,4
6,5,16,3
6,6,16,4
6,7,18,5
6,8,18,5
6,9,20,6
6,10,35,7
6,11,41,9
6,12,37,8
6,13,22,6
6,14,22,7
6,15,24,8
6,16,28,10
6,17,30,11
6,18,28,10
6,19,30,11
6,20,47,13
6,21,49,14
6,22,51,15
6,23,53,16
6,24,55,16
6,25,53,16
6,26,55,17
6,27,59,18
6,28,87,18
6,29,69,19
6,30,67,19
6,31,69,19
6,32,69,20
6,33,75,23
6,34,77,23
6,35,79,24
6,36,83,27
6,37,113,28
6,38,103,29
7,1,14,3
7,2,16,4
7,3,16,4
7,4,16,4
7,5,16,4
7,6,16,4
7,7,16,4
7,8,16,4
7,9,16,4
7,10,18,5
7,11,18,5
7,12,20,5
7,13,18,5
7,14,16,4
7,15,16,4
7,16,16,3
7,17,16,4
7,18,18,5
7,19,35,6
7,20,18,5
7,21,18,5
7,22,18,5
7,23,35,7
7,24,35,6
7,25,18,4
7,26,18,4
7,27,16,4
7,28,14,2
7,29,12,2
7,30,10,1
7,31,10,1
7,32,10,1
7,33,0,0
7,34,0,0
7,35,0,0
7,36,0,0
7,37,0,0
7,38,0,0
7,39,0,0
7,40,0,0
7,41,0,0
8,1,16,4
8,2,18,5
8,3,20,6
8,4,20,6
8,5,20,6
8,6,20,6
8,7,18,5
8,8,20,6
8,9,22,7
8,10,22,7
8,11,20,6
8,12,20,6
8,13,20,6
8,14,20,6
8,15,20,6
8,16,16,3
8,17,14,3
8,18,12,2
8,19,0,0
8,20,0,0
8,21,0,0
8,22,0,0
8,23,0,0
8,24,0,0
8,25,0,0
8,26,0,0
8,27,0,0
9,1,16,4
9,2,20,6
9,3,22,7
9,4,22,6
9,5,22,6
9,6,22,7
9,7,22,7
9,8,20,6
9,9,20,5
9,10,18,5
9,11,20,6
9,12,41,10
9,13,45,12
9,14,43,10
9,15,41,10
9,16,37,7
9,17,24,7
9,18,22,7
9,19,24,8
9,20,22,6
9,21,20,4
9,22,29,4
9,23,14,3
9,24,14,2
9,25,14,2
9,26,12,2
9,27,12,2
9,28,14,3
9,29,33,6
9,30,39,8
9,31,35,4
9,32,14,3
9,33,12,1
