port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5010,1,1,1,3,0.9997,0.0,0.3426
5010,1,1,2,2,0.9995,0.0,0.5127
5011,1,1,1,2,0.9997,0.0,0.5096
5011,1,1,2,2,0.9998,0.0,0.5085
5012,1,1,1,2,0.9967,0.0,0.5337
5012,1,1,2,2,0.9969,0.0,0.533
5013,1,1,1,2,1.0,0.0,0.5024
5010,1,2,1,2,0.9996,0.0,0.5123
5010,1,2,2,3,0.9997,0.0,0.3452
5011,1,2,1,3,0.9992,0.0,0.3496
5011,1,2,2,3,0.9994,0.0,0.3471
5012,1,2,1,3,0.9942,0.0,0.3799
5012,1,2,2,3,0.9935,0.0,0.3806
5013,1,2,1,3,1.0,0.0,0.3365
5013,1,2,2,3,1.0,0.0,0.3365
5010,1,3,1,2,0.9999,0.0,0.5069
5010,1,3,2,2,0.9996,0.0,0.5118
5011,1,3,1,3,0.9992,0.0,0.3497
5011,1,3,2,4,0.9992,0.0,0.2653
5012,1,3,1,3,0.996,0.0,0.3747
5012,1,3,2,3,0.9959,0.0,0.3742
5013,1,3,1,2,1.0,0.0,0.5024
5013,1,3,2,2,1.0,0.0,0.5032
5010,1,4,2,2,1.0,0.0,0.5022
5011,1,4,1,3,0.9991,0.0,0.3495
5011,1,4,2,4,0.9995,0.0,0.2622
5012,1,4,1,2,0.9999,0.0,0.5054
5012,1,4,2,2,0.9997,0.0,0.5108
5013,1,4,2,2,1.0,0.0,0.5024
5010,1,5,2,4,0.9999,0.0,0.2541
5011,1,5,1,3,0.9992,0.0,0.3489
5011,1,5,2,5,0.9996,0.0,0.2129
5012,1,5,1,4,0.9945,0.0,0.2874
5012,1,5,2,3,0.9968,0.0,0.3675
5013,1,5,2,2,1.0,0.0,0.5032
5010,1,6,1,3,0.9997,0.0,0.3443
5010,1,6,2,3,0.9999,0.0,0.3373
5011,1,6,1,6,0.9997,0.0,0.1737
5012,1,6,1,5,0.997,0.0,0.2346
5012,1,6,2,3,0.9941,0.0,0.3814
5013,1,6,1,3,0.9999,0.0,0.34
5013,1,6,2,4,1.0,0.0,0.2522
5010,1,7,1,5,0.9999,0.0,0.2024
5011,1,7,1,6,0.9997,0.0,0.1745
5012,1,7,1,4,0.9959,0.0,0.291
5012,1,7,2,4,0.9955,0.0,0.2906
5013,1,7,2,2,1.0,0.0,0.5016
5013,1,7,3,3,1.0,0.0,0.3355
5010,1,8,3,2,0.9998,0.0,0.5076
5011,1,8,1,6,0.9996,0.0,0.1751
5012,1,8,1,4,0.996,0.0,0.291
5012,1,8,2,4,0.9963,0.0,0.287
5013,1,8,2,2,1.0,0.0,0.5034
5011,1,9,1,2,0.9997,0.0,0.5095
5011,1,9,2,2,0.9999,0.0,0.5047
5011,1,9,3,5,0.9997,0.0,0.2095
5012,1,9,1,4,0.9959,0.0,0.2908
5012,1,9,2,4,0.9948,0.0,0.2946
5013,1,9,2,2,1.0,0.0,0.5021
5011,1,10,1,3,1.0,0.0,0.336
5011,1,10,3,3,0.9991,0.0,0.3505
5011,1,10,4,5,0.9997,0.0,0.2105
5012,1,10,1,3,0.9962,0.0,0.3728
5012,1,10,2,4,0.9957,0.0,0.2903
5013,1,10,1,8,0.9999,0.0,0.1304
5010,1,11,1,5,1.0,0.0,0.2016
5010,1,11,3,3,0.9991,0.0,0.3503
5011,1,11,1,5,0.9997,0.0,0.2084
5012,1,11,1,3,0.996,0.0,0.3743
5012,1,11,2,4,0.9952,0.0,0.2937
5013,1,11,1,2,0.9999,0.0,0.5045
5013,1,11,2,4,1.0,0.0,0.2515
5010,1,12,1,3,0.9998,0.0,0.3396
5010,1,12,3,6,0.9998,0.0,0.1709
5011,1,12,2,5,0.9997,0.0,0.2107
5012,1,12,1,3,0.9956,0.0,0.3754
5012,1,12,2,4,0.9967,0.0,0.2883
5012,1,12,3,3,0.997,0.0,0.3667
5010,1,13,1,3,1.0,0.0,0.3351
5010,1,13,4,3,0.9996,0.0,0.3471
5011,1,13,1,17,0.9991,0.0,0.0682
5011,1,13,2,5,1.0,0.0,0.2
5012,1,13,1,4,0.9965,0.0,0.2889
5012,1,13,2,3,0.9939,0.0,0.3811
5013,1,13,1,4,1.0,0.0,0.2518
5011,1,14,1,3,0.9997,0.0,0.3418
5011,1,14,2,3,0.9985,0.0,0.3538
5012,1,14,1,6,0.9974,0.0,0.1934
5012,1,14,2,3,0.9938,0.0,0.3784
5013,1,14,1,7,1.0,0.0,0.1432
5010,1,15,1,2,0.9999,0.0,0.505
5011,1,15,1,3,0.9992,0.0,0.3489
5011,1,15,2,5,0.9999,0.0,0.2059
5012,1,15,1,6,0.9977,0.0,0.1864
5012,1,15,2,3,1.0,0.0,0.3333
5012,1,15,3,2,1.0,0.0,0.5
5013,1,15,1,6,1.0,0.0,0.1667
5013,1,15,2,3,1.0,0.0,0.3333
5013,1,15,3,3,0.9602,0.0,0.4
5010,1,16,1,4,1.0,0.0,0.2516
5010,1,16,3,2,1.0,0.0,0.5033
5011,1,16,1,3,0.9992,0.0,0.3491
5012,1,16,1,3,0.9939,0.0,0.3812
5012,1,16,2,3,0.9973,0.0,0.3625
5012,1,16,3,2,1.0,0.0,0.5
5013,1,16,1,6,1.0,0.0,0.1684
5010,1,17,1,2,0.9999,0.0,0.5057
5010,1,17,2,3,0.9994,0.0,0.3473
5011,1,17,1,3,0.9992,0.0,0.348
5012,1,17,1,6,0.9975,0.0,0.1932
5013,1,17,1,3,1.0,0.0,0.3341
5013,1,17,2,8,0.9998,0.0,0.1284
5013,1,17,3,3,0.9968,0.0,0.3529
5010,1,18,1,4,1.0,0.0,0.2518
5011,1,18,1,5,0.9996,0.0,0.2104
5011,1,18,2,9,0.9998,0.0,0.1172
5012,1,18,1,2,0.9999,0.0,0.5068
5012,1,18,2,5,0.9971,0.0,0.2313
5012,1,18,3,2,1.0,0.0,0.5
5013,1,18,1,5,1.0,0.0,0.2011
5013,1,18,2,3,0.9992,0.0,0.3429
5010,1,19,2,4,0.9999,0.0,0.2533
5011,1,19,1,2,1.0,0.0,0.5039
5011,1,19,2,6,0.9973,0.0,0.1959
5012,1,19,1,5,0.9975,0.0,0.2295
5012,1,19,2,3,0.999,0.0,0.3545
5013,1,19,1,5,1.0,0.0,0.2009
5013,1,19,3,3,1.0,0.0,0.3333
5010,1,20,1,6,0.9999,0.0,0.1695
5011,1,20,1,8,0.9998,0.0,0.1348
5011,1,20,2,3,0.9912,0.0,0.4
5011,1,20,3,3,1.0,0.0,0.3333
5012,1,20,1,6,0.9974,0.0,0.1938
5012,1,20,2,2,0.9988,0.0,0.5204
5013,1,20,1,3,1.0,0.0,0.3347
5013,1,20,2,2,1.0,0.0,0.5032
5010,1,21,1,8,0.9999,0.0,0.1264
5011,1,21,1,3,0.9998,0.0,0.3399
5011,1,21,2,3,0.9995,0.0,0.3445
5011,1,21,3,5,0.9992,0.0,0.2051
5012,1,21,1,6,0.9975,0.0,0.1935
5012,1,21,2,2,0.9984,0.0,0.5238
5013,1,21,1,3,1.0,0.0,0.3344
5011,1,22,1,3,0.9997,0.0,0.342
5011,1,22,2,3,0.9997,0.0,0.3422
5011,1,22,3,3,0.9992,0.0,0.3509
5012,1,22,1,6,0.9974,0.0,0.1933
5012,1,22,2,2,0.9986,0.0,0.5221
5013,1,22,1,2,1.0,0.0,0.5014
5013,1,22,2,3,1.0,0.0,0.3333
5011,1,23,1,7,0.9995,0.0,0.1517
5012,1,23,1,2,0.9987,0.0,0.5213
5013,1,23,1,3,1.0,0.0,0.3365
5013,1,23,2,3,1.0,0.0,0.3333
5013,1,23,3,2,0.9993,0.0,0.5152
5013,1,23,4,3,1.0,0.0,0.3333
5010,1,24,1,3,0.9996,0.0,0.3452
5010,1,24,2,4,1.0,0.0,0.25
5010,1,24,3,3,1.0,0.0,0.3333
5010,1,24,4,3,1.0,0.0,0.3333
5011,1,24,1,7,0.9968,0.0,0.173
5012,1,24,1,2,0.9982,0.0,0.5247
5013,1,24,1,5,1.0,0.0,0.2
5013,1,24,3,3,1.0,0.0,0.3333
5013,1,24,4,2,1.0,0.0,0.5
5013,1,24,5,6,1.0,0.0,0.1667
5010,1,25,1,2,0.9996,0.0,0.5115
5010,1,25,2,3,0.9999,0.0,0.3359
5010,1,25,3,2,1.0,0.0,0.5
5011,1,25,1,9,0.9997,0.0,0.1171
5011,1,25,2,4,0.9991,0.0,0.2571
5012,1,25,1,3,0.9975,0.0,0.363
5012,1,25,2,2,0.9985,0.0,0.5229
5013,1,25,1,3,1.0,0.0,0.335
5013,1,25,2,5,1.0,0.0,0.2018
5013,1,25,3,2,0.9998,0.0,0.5077
5013,1,25,4,3,0.9991,0.0,0.3548
5013,1,25,5,2,0.9911,0.0,0.5556
5010,1,26,1,4,1.0,0.0,0.2522
5010,1,26,2,2,0.9999,0.0,0.5059
5010,1,26,3,2,0.9996,0.0,0.5122
5011,1,26,1,4,0.9997,0.0,0.2554
5012,1,26,1,12,0.9991,0.0,0.0899
5012,1,26,2,3,1.0,0.0,0.3333
5013,1,26,1,3,1.0,0.0,0.3361
5013,1,26,2,7,0.9999,0.0,0.1456
5010,1,27,2,2,0.9998,0.0,0.5074
5011,1,27,1,6,0.9996,0.0,0.1755
5011,1,27,2,3,0.9996,0.0,0.3468
5013,1,27,1,3,0.9999,0.0,0.3359
5010,1,28,1,4,1.0,0.0,0.253
5010,1,28,2,6,0.9998,0.0,0.1714
5010,1,28,3,2,1.0,0.0,0.5
5011,1,28,1,7,0.9987,0.0,0.1595
5011,1,28,2,3,0.9997,0.0,0.3439
5012,1,28,2,5,0.9995,0.0,0.2129
5013,1,28,1,3,1.0,0.0,0.337
5013,1,28,2,14,0.9989,0.0,0.0778
5010,1,29,1,4,1.0,0.0,0.2512
5011,1,29,1,4,0.9998,0.0,0.2553
5011,1,29,2,4,0.9996,0.0,0.2615
5012,1,29,1,10,0.9997,0.0,0.1076
5013,1,29,1,3,0.9999,0.0,0.3395
5013,1,29,3,2,1.0,0.0,0.5
5013,1,29,4,2,1.0,0.0,0.5
5010,1,30,1,2,0.9999,0.0,0.507
5011,1,30,2,3,0.9996,0.0,0.3417
5012,1,30,1,4,0.9999,0.0,0.2562
5012,1,30,2,5,0.9949,0.0,0.2414
5012,1,30,3,3,0.9602,0.0,0.4
5013,1,30,1,2,1.0,0.0,0.5
5013,1,30,2,2,1.0,0.0,0.5027
5010,1,31,1,3,0.9994,0.0,0.3477
5011,1,31,1,10,0.9769,0.0,0.1946
5011,1,31,2,6,0.9961,0.0,0.2031
5012,1,31,1,2,0.9998,0.0,0.5086
5012,1,31,2,4,0.9915,0.0,0.2982
5012,1,31,3,2,0.9968,0.0,0.5333
5012,1,31,4,6,1.0,0.0,0.1667
5013,1,31,1,8,1.0,0.0,0.1264
5010,1,32,1,2,0.9999,0.0,0.5049
5010,1,32,2,4,1.0,0.0,0.2525
5011,1,32,1,6,0.9845,0.0,0.2568
5011,1,32,2,5,0.9987,0.0,0.2205
5012,1,32,1,4,0.9931,0.0,0.2914
