game,rounds_played,winner,time_taken
1,80,Germans,2894
2,54,Germans,2107
3,31,Chinese,1239
4,45,Chinese,1975
5,34,Germans,1371
6,65,Russians,2677
7,42,Italians,1625
8,57,Chinese,2540
9,36,Russians,1123
10,34,Germans,1268
11,35,Germans,1247
12,32,Russians,1106
13,46,Italians,1516
14,39,Italians,1347
15,52,Chinese,2369
16,45,Italians,1537
17,59,Chinese,2341
18,41,Italians,1580
19,30,Italians,1230
20,27,Italians,973
21,40,Germans,1471
22,48,Germans,1652
23,27,Italians,1074
24,60,Chinese,2335
25,62,Russians,2716
26,55,Italians,2478
27,38,Russians,1287
28,39,Russians,1534
29,43,Russians,1590
30,32,Germans,1323
31,31,Russians,1125
32,53,Italians,1775
33,54,Russians,1924
34,51,Russians,2116
35,25,Italians,924
36,58,Italians,2225
37,37,Germans,1423
38,27,Russians,1044
39,28,Russians,1115
40,45,Chinese,1523
41,42,Germans,1756
42,61,Italians,2230
43,29,Germans,1177
44,30,Russians,1292
45,32,Germans,1263
46,48,Italians,2085
47,55,Germans,2283
48,41,Italians,1477
49,50,Germans,2087
50,26,Germans,1038
51,47,Chinese,1716
52,70,Germans,2717
53,52,Italians,2089
54,102,Italians,3447
55,66,Chinese,2632
56,41,Germans,1697
57,56,Germans,2089
58,60,Germans,1968
59,33,Germans,1451
60,53,Germans,2206
61,46,Italians,1998
62,39,Germans,1705
63,39,Russians,1703
64,34,Italians,1240
65,38,Russians,1446
66,35,Germans,1554
67,48,Germans,2095
68,23,Russians,879
69,40,Russians,1402
70,63,Chinese,2062
71,27,Italians,1025
72,49,Germans,1821
73,42,Russians,1316
74,44,Chinese,1579
75,62,Chinese,2281
76,41,Russians,1770
77,45,Germans,1989
78,171,Italians,4599
79,33,Chinese,1477
80,50,Chinese,1905
81,39,Chinese,1813
82,27,Germans,1028
83,51,Germans,1995
84,48,Italians,1618
85,37,Chinese,1314
86,47,Germans,1920
87,49,Chinese,1952
89,57,Italians,2013
90,46,Italians,1887
91,28,Italians,1054
92,32,Italians,1288
93,51,Italians,2342
94,65,Chinese,2931
95,34,Russians,1349
96,27,Chinese,992
97,41,Chinese,1612
98,55,Chinese,1639
99,70,Chinese,2634
100,31,Chinese,1277
101,50,Chinese,1625
102,29,Chinese,1217
103,33,Russians,1161
104,31,Chinese,1177
105,43,Germans,1776
106,66,Russians,2627
107,51,Italians,2135
108,35,Germans,1466
109,50,Russians,1995
110,36,Chinese,1352
111,42,Italians,1761
112,55,Russians,2197
113,32,Russians,1186
114,52,Italians,2085
115,38,Italians,1691
116,42,Germans,1383
117,31,Russians,1310
118,28,Germans,1149
119,79,Italians,2725
120,92,Chinese,2993
121,24,Russians,869
122,39,Chinese,1478
123,33,Italians,1112
124,38,Russians,1544
125,43,Russians,1427
126,43,Italians,1924
127,39,Chinese,1747
128,38,Italians,1622
129,25,Italians,973
130,53,Italians,2182
131,37,Italians,1493
132,33,Russians,1178
133,30,Italians,1213
134,26,Germans,1104
135,33,Chinese,1366
136,35,Germans,1525
137,29,Russians,1056
138,56,Russians,2388
139,36,Chinese,1616
140,67,Russians,2379
141,27,Germans,1123
142,21,Russians,776
144,36,Russians,1470
145,35,Russians,1464
146,35,Germans,1586
147,44,Germans,1624
148,45,Germans,1787
149,26,Russians,1042
150,52,Russians,2160
151,50,Chinese,2006
152,59,Russians,2719
153,47,Germans,1825
154,41,Germans,1456
155,48,Chinese,2049
156,77,Italians,3398
157,39,Chinese,1743
158,36,Germans,1219
159,53,Italians,2169
160,39,Russians,1761
161,48,Italians,1973
162,36,Russians,1232
163,41,Germans,1682
164,50,Italians,1998
165,41,Italians,1975
166,43,Italians,1768
167,46,Chinese,2054
168,44,Germans,1886
169,43,Russians,1549
170,33,Chinese,1380
171,38,Italians,1704
172,64,Italians,2506
173,28,Italians,1215
174,43,Germans,1814
175,42,Italians,1602
176,43,Germans,1895
177,49,Italians,2250
178,46,Italians,1635
179,30,Russians,1114
180,60,Chinese,2343
181,47,Chinese,2020
182,36,Chinese,1548
183,43,Chinese,1882
184,30,Chinese,1248
185,45,Italians,2141
186,28,Germans,1293
187,26,Russians,1033
188,52,Germans,2203
189,48,Russians,1891
190,27,Russians,985
191,59,Russians,2590
192,34,Chinese,1395
193,35,Russians,1356
194,76,Russians,3702
195,48,Russians,1870
196,40,Russians,1312
197,34,Germans,1480
198,41,Germans,1927
199,42,Germans,1653
200,49,Italians,2034
201,63,Chinese,3056
202,34,Chinese,1390
204,39,Chinese,1728
205,30,Germans,1195
206,26,Russians,1034
207,43,Germans,1590
208,34,Chinese,1381
209,49,Italians,2068
210,49,Italians,1919
211,45,Italians,1930
212,26,Italians,1018
213,34,Chinese,1273
214,46,Italians,1734
215,22,Chinese,966
216,51,Italians,2085
217,52,Russians,1939
218,43,Chinese,1889
219,57,Russians,2188
220,34,Italians,1315
221,32,Russians,1309
222,71,Chinese,2588
223,58,Chinese,2243
224,37,Chinese,1836
225,42,Russians,1594
226,25,Italians,1053
227,39,Italians,1670
228,38,Chinese,1649
229,24,Chinese,995
230,54,Germans,2243
231,30,Chinese,1249
232,29,Germans,1217
233,52,Germans,2232
234,31,Russians,1366
235,36,Germans,1553
236,29,Italians,1261
237,58,Chinese,2385
238,27,Italians,1152
239,78,Germans,2443
240,33,Russians,1613
241,75,Russians,3351
242,25,Italians,1028
243,51,Italians,2191
244,49,Chinese,1760
245,31,Italians,1250
246,48,Germans,2060
247,40,Russians,1541
248,45,Chinese,1836
249,53,Russians,2115
250,26,Germans,1114
251,26,Germans,1063
252,36,Germans,1393
254,38,Germans,1502
255,27,Germans,1252
256,45,Germans,2052
257,66,Germans,2183
258,38,Chinese,1361
259,80,Russians,2610
260,47,Russians,1961
261,36,Chinese,1538
262,44,Italians,1749
263,53,Italians,2368
264,51,Germans,2064
265,38,Germans,1419
266,30,Germans,1204
267,46,Germans,2141
268,29,Italians,1265
269,38,Russians,1596
270,80,Russians,2644
271,41,Russians,1656
272,49,Chinese,2067
273,50,Germans,2017
274,47,Germans,2056
275,62,Chinese,2505
276,88,Italians,3281
277,52,Chinese,2141
278,31,Russians,1331
279,38,Italians,1458
280,40,Germans,1686
281,20,Italians,803
282,41,Chinese,1974
283,31,Italians,1193
284,38,Chinese,1423
285,33,Italians,1400
