game,round,num_iterations,max_depth,time_taken,num_children,value
1,1,1000,3,3.72,3,0.01161798052303493
1,2,1000,3,3.55,3,0.011617113085463643
1,3,1000,4,4.1,3,0.01161545393243432
1,4,1000,3,4.17,4,0.011614820387214422
1,5,1000,3,4.69,3,0.011615060295909644
1,6,1000,3,4.99,3,0.011615569649264216
1,7,1000,4,6.06,3,0.011615886436775327
1,8,1000,4,6.09,3,0.011617274126037955
1,9,1000,4,6.49,3,0.011618674841709435
1,10,1000,4,7.01,4,0.011619690961204469
1,11,1000,4,7.09,4,0.011618662712164224
1,12,1000,4,7.23,4,0.011618601723574103
1,13,1000,4,3.96,1,0.011617928758263589
1,14,1000,4,8.1,3,0.011617665626108647
1,15,275,4,10.03,12,0.011615639135918834
1,16,1000,4,5.02,3,0.011616673389449715
1,17,1000,2,3.08,2,0.011615877667441965
1,18,1000,4,4.88,4,0.011615209436044096
1,19,1000,3,4.59,3,0.011616158491000533
1,20,1000,3,3.92,2,0.01161574730090797
1,21,1000,3,3.9,2,0.011616154991090298
1,22,1000,3,3.99,2,0.011615431521087885
1,23,1000,2,3.17,6,0.01161487501487136
1,24,1000,2,3.15,6,0.011614420859143137
1,25,1000,4,4.11,3,0.011612343495711684
1,26,268,4,10.01,6,0.011612564881346118
1,27,1000,2,3.46,12,0.011612436384893954
1,28,1000,3,3.66,4,0.011611951045691966
1,29,1000,2,3.84,3,0.01161150062829256
1,30,281,5,10.01,3,0.011612139005890096
1,31,268,5,10.01,3,0.011611727601501034
1,32,965,5,10.0,3,0.011611340936138222
1,33,265,4,10.0,6,0.011611588053264708
1,34,249,5,10.0,1,0.011610771293740675
1,35,248,5,10.03,3,0.011611449119124201
1,36,975,4,10.0,3,0.011611689617618536
1,37,299,4,10.01,3,0.011611084338514302
1,38,1000,4,9.71,2,0.0116111229788512
1,39,254,4,10.04,5,0.011609899254119772
1,40,342,5,10.04,3,0.011610271779504435
1,41,271,5,10.02,4,0.011609991978015407
1,42,281,5,10.0,3,0.011609516766094652
1,43,1000,5,9.96,3,0.011609459763392806
1,44,1000,4,5.0,4,0.011610317500308156
1,45,246,4,10.02,2,0.011609834603722988
1,46,239,3,10.01,5,0.011610361860449343
1,47,257,4,10.01,5,0.011610923436423221
1,48,1000,3,7.4,3,0.011611389394849538
1,49,263,5,10.04,3,0.011611705475943623
1,50,263,5,10.03,3,0.011611342734653687
1,51,278,6,10.01,3,0.011611178865750058
1,52,318,6,10.02,3,0.011611501170826034
1,53,301,6,10.0,3,0.011611289836689086
1,54,281,5,10.02,3,0.011610864280487718
1,55,293,7,10.04,2,0.011610595903553247
1,56,283,5,10.02,6,0.011610082327635043
1,57,244,4,10.04,6,0.01160939117954647
1,58,283,5,10.03,11,0.01160961676507451
1,59,244,3,10.02,21,0.011609639186167815
1,60,256,4,10.02,3,0.01161009815405123
1,61,317,5,10.03,3,0.01160999490917669
1,62,1000,4,7.11,2,0.011611117660999298
1,63,841,4,10.0,1,0.011610876272712678
