game,player,z,num_examples,value_mean,value_std,percent_full_iter
1,5010,-0.33333333333333326,128,0.0271,0.0193,85.94000000000001
1,5011,-1.0,100,0.0659,0.0484,93.0
1,5012,1.0,302,0.0085,0.0051,39.739999999999995
1,5013,0.33333333333333337,242,-0.0132,0.0086,78.93
2,5011,-1.0,87,-0.0466,0.0451,95.39999999999999
2,5013,-0.33333333333333326,153,-0.0025,0.0018,88.89
2,5012,1.0,155,-0.0699,0.0511,56.13
2,5010,0.33333333333333337,170,-0.0177,0.0121,50.0
3,5010,-1.0,62,-0.0319,0.0245,95.16
3,5012,-0.33333333333333326,62,-0.0408,0.0395,100.0
3,5013,1.0,83,0.073,0.0563,83.13000000000001
3,5011,0.33333333333333337,77,-0.0018,0.0015,80.52
4,5010,-1.0,71,-0.0496,0.045,90.14
4,5012,-0.33333333333333326,104,0.0568,0.0496,100.0
4,5011,0.33333333333333337,138,0.0175,0.0122,70.28999999999999
4,5013,1.0,159,-0.0187,0.0117,52.83
5,5011,-1.0,28,0.0071,0.0095,100.0
5,5013,0.33333333333333337,55,-0.045,0.053,100.0
5,5010,-0.33333333333333326,86,-0.0059,0.0044,80.23
5,5012,1.0,114,-0.0531,0.0346,64.91
6,5012,-0.33333333333333326,194,-0.1434,0.096,87.11
6,5013,-1.0,134,0.0766,0.0591,94.03
6,5011,0.33333333333333337,181,-0.01,0.0074,97.24000000000001
6,5010,1.0,221,0.061,0.0394,38.01
7,5010,-0.33333333333333326,63,0.0622,0.0593,100.0
7,5012,-1.0,69,0.0304,0.0229,89.86
7,5013,0.33333333333333337,126,0.0058,0.004,65.08
7,5011,1.0,134,-0.0891,0.0602,62.69
8,5012,-1.0,113,-0.0682,0.0565,95.58
8,5011,0.33333333333333337,149,-0.0059,0.0047,96.64
8,5013,1.0,161,0.0307,0.0227,68.32000000000001
8,5010,-0.33333333333333326,154,0.0164,0.012,72.72999999999999
9,5011,-1.0,36,0.0583,0.0493,100.0
9,5013,-0.33333333333333326,50,0.0041,0.0038,100.0
9,5012,0.33333333333333337,107,-0.0381,0.0265,79.44
9,5010,1.0,104,-0.0671,0.0488,88.46000000000001
10,5011,-1.0,51,-0.0381,0.0359,100.0
10,5010,0.33333333333333337,93,0.0093,0.0071,100.0
10,5013,-0.33333333333333326,70,-0.0184,0.0155,100.0
10,5012,1.0,113,-0.0284,0.0186,63.72
11,5011,-1.0,39,0.0054,0.0056,100.0
11,5012,1.0,117,-0.0631,0.0412,92.31
11,5013,-0.33333333333333326,77,0.0714,0.0495,80.52
11,5010,0.33333333333333337,104,-0.0387,0.0276,64.42
12,5013,-1.0,23,-0.0169,0.0176,100.0
12,5012,0.33333333333333337,77,-0.002,0.0016,83.12
