game,round,pu_before,pu_after,territories_before,territories_after
1,1,4,18,2,3
1,2,5,21,3,4
1,3,3,21,4,5
1,4,3,19,3,4
1,5,2,18,3,4
1,6,0,16,3,4
1,7,2,20,4,5
1,8,1,19,4,5
1,9,15,31,4,4
1,10,9,25,4,4
1,11,10,24,3,3
1,12,8,20,1,2
1,13,1,15,2,3
1,14,0,14,2,3
1,15,0,14,2,3
1,16,3,17,2,3
1,17,0,14,2,3
1,18,5,19,2,3
1,19,2,16,2,3
1,20,3,17,2,3
1,21,6,20,2,3
1,22,10,24,2,3
1,23,5,19,2,3
1,24,3,17,2,3
1,25,1,15,2,3
1,26,5,19,2,3
1,27,3,17,3,3
1,28,0,10,1,1
2,1,1,15,2,3
2,2,3,19,3,4
2,3,16,34,4,5
2,4,1,19,4,5
2,5,1,21,5,6
2,6,9,27,4,5
2,7,7,23,3,4
2,8,4,22,4,5
2,9,10,28,4,5
2,10,11,25,2,3
2,11,0,14,2,3
2,12,6,18,1,2
2,13,2,16,2,3
2,14,6,20,2,3
2,15,5,19,2,3
2,16,2,16,2,3
2,17,9,23,2,3
2,18,5,19,2,3
2,19,0,14,2,3
2,20,6,20,2,3
2,21,0,14,2,3
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,2,1,1
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,4,1,2
2,21,0,4,2,2
3,1,17,31,2,3
3,2,3,19,3,4
3,3,3,19,3,4
3,4,5,21,3,4
3,5,12,28,3,4
3,6,4,22,4,5
3,7,3,23,5,6
3,8,1,19,4,5
3,9,1,15,2,3
3,10,8,24,3,4
3,11,3,19,3,4
3,12,7,21,2,3
3,13,3,17,2,3
3,14,6,20,2,3
3,14,0,4,2,2
4,1,4,18,2,3
4,2,2,18,3,4
4,3,4,20,3,4
4,4,11,29,4,5
4,5,20,38,4,5
4,6,7,25,4,5
4,7,12,30,4,5
4,8,0,20,5,6
4,9,0,22,6,7
4,10,8,28,5,6
4,11,5,21,3,4
4,12,0,16,3,4
4,13,5,23,4,5
4,14,17,37,5,6
4,15,4,24,5,6
4,16,2,20,4,5
4,17,5,19,2,3
4,18,11,21,1,1
5,1,2,16,2,3
5,2,6,22,3,4
5,3,1,19,4,5
5,4,11,31,5,6
5,6,13,25,1,2
5,7,12,26,2,3
5,8,4,18,2,3
5,9,3,19,3,4
5,10,6,24,4,5
5,11,9,27,4,5
5,12,12,32,5,6
5,13,10,28,4,5
5,14,12,28,3,4
5,15,0,14,2,3
5,16,2,16,2,3
5,17,0,14,2,3
5,18,1,15,2,3
5,19,6,22,3,4
5,20,7,23,4,4
5,21,4,22,4,5
5,22,14,30,3,4
5,23,4,16,1,2
5,24,5,19,2,3
5,25,0,16,3,4
5,26,5,21,3,4
5,27,0,14,2,3
5,28,4,20,3,4
5,29,0,16,3,4
5,30,3,19,3,4
5,31,2,18,3,4
5,32,10,26,3,4
5,33,16,30,2,3
5,34,7,21,2,3
5,35,3,19,3,4
5,36,9,25,3,4
5,37,7,25,4,5
5,38,6,22,4,4
5,39,1,15,2,3
5,40,6,16,1,1
