game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
1,1,13,13,5,0.2355061315496098,9.692307692307692,3,3
1,2,10,10,4,0.218861355963991,9.4,3,3
1,3,10,10,5,0.16947550034506556,9.5,2,2
1,4,9,9,1,-0.1956521739130435,9.222222222222221,9,323
1,5,8,8,1,-0.043478260869565216,8.875,8,868
1,6,7,7,1,-0.14583333333333334,9.571428571428571,7,18
1,7,8,8,1,-0.1511627906976744,9.375,8,12
1,8,7,7,1,-0.1,9.285714285714286,7,50
1,9,6,6,1,-0.2671232876712329,10.0,6,54
1,10,6,6,1,-0.25862068965517243,9.666666666666666,6,17
1,11,6,6,2,0.03778467908902691,9.166666666666666,5,5
1,12,1,1,1,-0.3074074074074074,2.0,1,572
1,13,3,3,1,-0.2471264367816092,7.333333333333333,3,1716
1,14,3,3,1,-0.20103092783505155,9.333333333333334,3,34892
1,15,1,1,1,-0.26744186046511625,2.0,1,2858
1,16,3,3,1,-0.08947368421052632,7.666666666666667,3,35700
1,17,3,3,1,-0.07272727272727272,8.333333333333334,3,7182
1,18,3,3,1,0.08333333333333333,7.0,3,63837
1,19,3,3,1,-0.1115702479338843,8.666666666666666,3,10584
1,20,3,3,1,-0.48823529411764705,8.333333333333334,3,77616
1,21,2,2,1,0.72,6.0,2,14904
1,22,1,1,1,-0.14772727272727273,4.0,1,84456
1,23,1,1,1,-0.14285714285714285,5.0,1,12482
1,24,1,1,1,-0.3177083333333333,4.0,1,150800
1,25,1,1,1,-0.2626582278481013,2.0,1,24192
1,26,2,2,1,-0.047058823529411764,6.0,2,201602
1,27,1,1,1,-0.48237885462555063,3.0,1,9949
1,28,4,4,4,0.2155779514603044,6.75,1,1
2,1,22,22,8,0.2381906288156288,9.681818181818182,3,3
2,2,12,12,4,0.09641025641025641,10.0,3,3
2,3,10,10,3,0.2349206349206349,9.7,4,4
2,4,9,9,2,0.05701754385964912,10.0,5,5
2,5,8,8,4,0.12325618994826312,10.0,2,2
2,6,9,9,3,0.19952587095444238,9.222222222222221,3,3
2,7,8,8,1,-0.015625,10.0,8,41
2,8,7,7,1,0.14516129032258066,10.0,7,41
2,9,6,6,1,0.0,9.5,6,23
2,10,4,4,2,0.03476996298254892,8.25,2,2
2,11,6,6,1,-0.18831168831168832,9.833333333333334,6,9
2,12,3,3,1,-0.24468085106382978,10.0,3,217
2,13,7,7,1,-0.41379310344827586,8.857142857142858,7,651
2,14,6,6,1,-0.30952380952380953,8.666666666666666,6,3686
