game,round,total_moves,pruned_moves
1,1,18,3
1,2,14,4
1,3,14,2
1,4,8,3
1,5,8,2
1,6,2,1
1,7,12,8
1,8,26,6
1,9,340,339
1,10,684,682
1,11,10540,10540
1,12,1715,1712
1,13,36765,36764
1,14,3306,3302
1,15,39000,39000
1,16,9054,9050
1,17,29029,29027
1,18,30240,30240
1,19,73440,73439
1,20,57753,57753
1,21,125488,125486
1,22,57750,38502
1,23,178500,178498
1,24,40500,40500
1,25,337500,337500
1,26,174960,174960
1,27,237600,237600
1,28,77112,77112
1,29,1053864,1053850
1,30,190476,190475
1,31,355212,355199
1,32,106812,71210
1,33,449995,449985
1,34,371520,371520
1,35,828438,828430
1,36,3,1
