=== Round-wise Reduction Data ===

 game  round  total_moves  pruned_moves  reduction_percent
    1      1           18             3          83.333333
    1      2           14             4          71.428571
    1      3           14             2          85.714286
    1      4            8             3          62.500000
    1      5            8             2          75.000000
    1      6            2             1          50.000000
    1      7           12             8          33.333333
    1      8           26             6          76.923077
    1      9          340           339           0.294118
    1     10          684           682           0.292398
    1     11        10540         10540           0.000000
    1     12         1715          1712           0.174927
    1     13        36765         36764           0.002720
    1     14         3306          3302           0.120992
    1     15        39000         39000           0.000000
    1     16         9054          9050           0.044179
    1     17        29029         29027           0.006890
    1     18        30240         30240           0.000000
    1     19        73440         73439           0.001362
    1     20        57753         57753           0.000000
    1     21       125488        125486           0.001594
    1     22        57750         38502          33.329870
    1     23       178500        178498           0.001120
    1     24        40500         40500           0.000000
    1     25       337500        337500           0.000000
    1     26       174960        174960           0.000000
    1     27       237600        237600           0.000000
    1     28        77112         77112           0.000000
    1     29      1053864       1053850           0.001328
    1     30       190476        190475           0.000525
    1     31       355212        355199           0.003660
    1     32       106812         71210          33.331461
    1     33       449995        449985           0.002222
    1     34       371520        371520           0.000000
    1     35       828438        828430           0.000966
    1     36            3             1          66.666667


=== Game-wise Summary (Avg of Round-wise Reduction) ===

   game  rounds  avg_round_reduction  avg_round_reduction_percent
      1    36.0             0.186808                    18.680822
OVERALL    36.0             0.186808                    18.680822
