game,round,pu_before,pu_after,territories_before,territories_after
1,1,8,22,2,3
1,2,11,27,3,4
1,3,7,25,4,5
1,4,2,22,5,6
1,5,11,31,5,6
1,6,26,46,5,6
1,7,8,28,5,6
1,8,18,38,5,6
1,9,10,30,5,6
1,10,24,42,4,5
1,11,15,33,4,5
1,12,11,27,3,4
1,13,2,16,2,3
1,14,3,17,2,3
1,15,2,16,2,3
1,16,9,23,2,3
1,17,10,24,2,3
1,18,14,28,2,3
1,19,16,30,2,3
1,20,20,34,2,3
1,21,9,23,2,3
1,22,5,19,2,3
1,23,6,20,2,3
1,24,9,23,2,3
1,25,4,18,2,3
1,26,4,18,2,3
1,27,6,20,2,3
1,28,7,21,2,3
1,29,2,16,2,3
1,30,7,21,2,3
1,31,3,17,2,3
1,32,6,20,2,3
1,33,10,24,2,3
1,34,3,17,2,3
1,35,3,17,2,3
1,36,5,19,2,3
1,37,4,18,2,3
1,38,13,27,2,3
1,39,0,14,2,3
1,40,11,25,2,3
1,41,13,27,2,3
1,42,0,14,2,3
1,43,6,20,2,3
1,44,15,29,2,3
1,45,19,33,2,3
1,46,2,16,2,3
1,47,10,24,2,3
1,48,7,21,2,3
1,49,5,19,2,3
1,50,15,29,2,3
1,51,7,21,2,3
1,52,2,16,2,3
1,53,0,14,2,3
1,54,8,22,2,3
1,55,7,21,2,3
1,56,6,20,2,3
1,57,12,26,2,3
1,58,8,22,2,3
1,59,2,16,2,3
1,60,7,21,2,3
1,61,3,17,2,3
1,62,11,25,2,3
1,63,4,18,2,3
1,64,2,16,2,3
1,65,4,18,2,3
1,66,0,14,2,3
1,67,0,14,2,3
1,68,0,14,2,3
1,69,4,18,2,3
1,70,3,17,2,3
1,71,1,15,2,3
1,72,2,12,1,1
2,1,5,19,2,3
2,2,5,21,3,4
2,3,1,19,4,5
2,4,7,27,5,6
2,5,4,22,4,5
2,6,12,30,4,5
2,7,9,29,5,6
2,8,19,39,5,6
2,9,9,27,4,5
2,10,14,30,3,4
2,11,15,31,3,4
2,12,3,17,2,3
2,13,4,18,2,3
2,14,7,21,2,3
2,15,0,14,2,3
2,16,0,14,2,3
2,17,2,16,2,3
2,18,2,16,2,3
2,19,2,16,2,3
2,20,7,21,2,3
2,21,4,18,2,3
2,22,2,16,2,3
2,23,8,22,2,3
2,24,6,20,2,3
2,25,6,20,2,3
2,26,6,20,2,3
2,27,1,15,2,3
2,28,2,16,2,3
2,29,6,20,2,3
2,30,7,21,2,3
2,31,8,22,2,3
2,32,5,19,2,3
2,33,3,17,2,3
2,34,1,15,2,3
2,35,6,20,2,3
2,36,6,20,2,3
2,37,11,25,2,3
2,38,2,16,2,3
2,39,2,16,2,3
2,40,8,22,2,3
2,41,9,23,2,3
2,42,0,10,1,1
3,1,14,28,2,3
3,2,4,20,3,4
3,3,8,26,4,5
3,4,7,25,4,5
3,5,12,32,5,6
3,6,5,25,5,6
3,7,7,29,6,7
3,8,3,23,5,6
3,9,14,32,4,5
3,10,8,26,4,5
3,11,3,21,4,5
3,12,1,19,4,5
3,13,0,18,4,5
3,14,0,18,4,5
3,15,2,18,3,4
3,16,3,17,2,3
3,17,0,14,2,3
3,18,8,22,2,3
3,19,0,14,2,3
