game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
1,1,19,19,7,0.21136173767752714,9.894736842105264,3,3
1,2,11,11,4,0.12713068181818182,9.545454545454545,3,3
1,3,9,9,3,0.10258256322086108,9.333333333333334,3,3
1,4,8,8,8,0.17426215927079336,9.0,1,1
1,5,7,7,1,-0.23493975903614459,9.428571428571429,7,30
1,6,7,7,1,-0.19879518072289157,9.142857142857142,7,22
1,7,6,6,1,-0.18686868686868688,10.0,6,13
1,8,6,6,1,-0.18141592920353983,9.833333333333334,6,15
1,9,6,6,1,-0.18032786885245902,9.833333333333334,6,17
1,10,6,6,1,-0.20634920634920634,10.0,6,10
1,11,6,6,1,-0.23026315789473684,9.833333333333334,6,921
1,12,6,6,1,-0.17625899280575538,9.0,6,5282
1,13,6,6,1,-0.23053892215568864,8.833333333333334,6,28979
1,14,5,5,1,-0.20285714285714285,10.0,5,6138
1,15,6,6,1,-0.18393782383419688,8.666666666666666,6,112529
1,16,6,6,1,-0.23279352226720648,9.5,6,21888
1,17,6,6,1,-0.18220338983050846,10.0,6,53352
1,18,6,6,1,-0.1417910447761194,9.833333333333334,6,46494
1,19,7,7,1,-0.35648148148148145,9.142857142857142,7,44197
1,20,6,6,1,-0.038461538461538464,9.666666666666666,6,22932
1,21,6,6,1,-0.08095238095238096,9.0,6,122304
1,22,6,6,1,-0.036231884057971016,10.0,6,57962
1,23,6,6,1,-0.23737373737373738,9.666666666666666,6,310590
1,24,6,6,1,0.024390243902439025,8.833333333333334,6,31962
1,25,5,5,1,-0.2222222222222222,9.0,5,390999
1,26,5,5,1,-0.13157894736842105,9.8,5,56700
1,27,6,6,1,-0.05092592592592592,9.166666666666666,6,623700
1,28,6,6,1,-0.11471861471861472,10.0,6,98498
1,29,5,5,1,-0.013761467889908258,10.0,5,255358
1,30,5,5,1,-0.012027491408934709,9.8,5,175392
1,31,5,5,1,0.08256880733944955,9.4,5,511629
1,32,5,5,1,0.04804270462633452,10.0,5,108054
1,33,5,5,1,0.1349206349206349,9.4,5,792396
1,34,5,5,1,0.014184397163120567,9.0,5,128064
1,35,5,5,1,0.04952076677316294,9.4,5,1750207
1,36,5,5,1,-0.12681159420289856,9.6,5,318240
1,37,5,5,1,0.026970954356846474,10.0,5,488430
1,38,5,5,1,0.06,9.6,5,719280
1,39,6,6,1,-0.18193384223918574,8.5,6,199800
1,40,5,5,1,-0.011904761904761904,9.0,5,412920
1,41,5,5,1,-0.2692307692307692,9.0,5,1207677
1,42,6,6,1,0.024456521739130436,8.666666666666666,6,481536
1,43,6,6,1,-0.03409090909090909,9.0,6,1406987
1,44,6,6,1,-0.19408740359897173,8.833333333333334,6,609839
1,45,5,5,1,-0.1,10.0,5,314159
1,46,5,5,1,-0.3320209973753281,9.6,5,970200
1,47,5,5,1,-0.32,8.6,5,3532760
1,48,5,5,1,0.08280254777070063,9.4,5,400488
1,49,5,5,1,-0.16666666666666666,8.4,5,3337399
1,50,5,5,1,0.17006802721088435,9.8,5,298352
1,51,5,5,1,-0.06887755102040816,10.0,5,1044225
1,52,5,5,1,-0.3293963254593176,9.2,5,1474200
1,53,4,4,1,-0.3757637474541752,9.75,4,2927399
1,54,5,5,1,-0.3950617283950617,9.0,5,1163828
1,55,6,6,1,-0.44133333333333336,8.833333333333334,6,1205892
