game,round,total_moves,pruned_moves
1,1,18,3
1,2,16,3
1,3,28,3
1,4,26,1
1,5,40,30
1,6,24,22
1,7,22,13
1,8,17,15
1,9,18,17
1,10,24,10
1,11,922,921
1,12,5283,5282
1,13,28980,28979
1,14,6138,6138
1,15,112530,112529
1,16,21888,21888
1,17,53352,53352
1,18,46494,46494
1,19,44198,44197
1,20,22932,22932
1,21,122304,122304
1,22,86940,57962
1,23,310590,310590
1,24,47940,31962
1,25,391000,390999
1,26,56700,56700
1,27,623700,623700
1,28,147744,98498
1,29,255360,255358
1,30,175392,175392
1,31,511632,511629
1,32,108054,108054
1,33,792396,792396
1,34,128064,128064
1,35,1750208,1750207
1,36,318240,318240
1,37,488430,488430
1,38,719280,719280
1,39,199800,199800
1,40,412920,412920
1,41,1207680,1207677
1,42,481536,481536
1,43,1406988,1406987
1,44,609840,609839
1,45,314160,314159
1,46,970200,970200
1,47,3532760,3532760
1,48,400488,400488
1,49,3337400,3337399
1,50,447525,298352
1,51,1044225,1044225
1,52,1474200,1474200
1,53,2927400,2927399
1,54,1745739,1163828
1,55,1205892,1205892
1,56,632358,421574
1,57,4426506,4426506
1,58,1415880,1415880
1,59,4098870,4098869
1,60,776736,517826
1,61,10615392,10615392
1,62,3479196,3479196
1,63,1522560,1522560
1,64,1865136,1865136
1,65,14574364,14574363
1,66,1061775,707841
1,67,7357350,7357349
1,68,3426930,3426901
1,69,5120700,5120697
1,70,3745440,3745412
1,71,3010224,3010206
1,72,12,1
2,1,18,3
2,2,30,4
2,3,24,4
2,4,28,2
2,5,16,11
2,6,44,34
2,7,14,14
2,8,24,23
2,9,783,781
2,10,1804,1802
2,11,23100,23100
2,12,6384,6384
2,13,68229,68228
2,14,13800,9202
2,15,48070,48069
2,16,41472,27650
2,17,56160,56160
2,18,16704,16704
2,19,94656,94656
2,20,66096,44066
2,21,71820,71819
2,22,28158,18774
2,23,272194,272194
2,24,88806,59206
2,25,93480,93480
2,26,113160,113160
2,27,376257,376257
2,28,217350,217350
2,29,646875,646875
2,30,93312,62210
2,31,761400,761399
2,32,110250,110250
2,33,1690500,1690500
2,34,274752,274752
2,35,1723904,1723904
2,36,336600,224402
2,37,521730,521728
2,38,378624,378624
2,39,845988,845987
2,40,676512,676512
2,41,714096,714094
2,42,6,1
3,1,18,3
3,2,7,3
3,3,13,4
3,4,11,5
3,5,5,2
3,6,44,41
3,7,14,12
3,8,8,7
3,9,2384,2383
3,10,3564,3564
3,11,15842,15841
3,12,14562,14561
3,13,40952,40950
3,14,10946,10945
3,15,141120,141120
3,16,16758,16758
3,17,240198,240198
3,18,55440,36962
3,19,125580,115921
3,20,46391,46370
3,21,302400,12098
3,22,24237,24194
3,23,23250,23042
3,24,11904,28
3,25,1110,4
3,26,2219,439
3,27,1607,439
3,28,3183,873
3,29,2830,2829
3,30,4176,4035
3,31,11511,11497
3,32,70,19
4,1,18,3
4,2,12,3
4,3,10,2
4,4,12,7
4,5,12,3
4,6,4,3
4,7,5,3
4,8,2,2
4,9,5,4
4,10,3,2
4,11,3802,3800
4,12,2052,2048
4,13,2052,2052
4,14,1936,1936
4,15,1954,1954
4,16,62,59
4,17,9,9
4,18,6084,6084
4,19,6565,6554
4,20,15876,15876
4,21,9408,9408
4,22,72800,69890
4,23,28742,28742
4,24,114912,114912
4,25,46464,30978
4,26,74052,74052
4,27,31416,31416
4,28,178024,178023
4,29,82824,82823
4,30,306936,306932
4,31,55296,55296
4,32,446400,446395
4,33,45163,45163
4,34,790020,790020
4,35,84360,84360
4,36,534280,534280
4,37,100035,33349
4,38,33497,33349
4,39,33357,33352
4,40,33361,33354
4,41,98292,65689
4,42,31421,31420
4,43,61568,31929
4,44,32651,32633
4,45,37032,37031
4,46,95544,36266
4,47,34508,34474
4,48,17010,17010
4,49,166050,4
4,50,247968,123986
4,51,23625,23249
4,52,46538,46496
4,53,73110,24378
4,54,13958,13918
4,55,7616,7616
4,56,91392,30468
4,57,9316,9252
4,58,17926,17922
4,59,28462,18978
4,60,18996,18976
4,61,29970,20486
4,62,12006,11990
4,63,13176,13176
4,64,7371,7371
4,65,64638,64638
4,66,79002,79001
4,67,92664,92656
4,67,24336,24336
4,67,24336,24336
4,67,24336,24336
4,67,12181,12180
4,67,23712,23712
4,67,23712,23712
4,67,23088,23088
4,67,11557,14
4,67,1702,853
4,67,805,805
4,67,2415,2407
4,79,690,681
5,1,18,3
5,2,10,3
5,3,6,2
5,4,2,0
5,5,14,2
5,6,10,5
5,7,16,5
5,8,20,5
5,9,26,16
5,10,796,794
5,11,6050,6048
5,12,8448,8448
5,13,3888,3888
5,14,24624,24624
5,15,13392,13392
5,16,96348,96348
5,17,12495,12495
5,18,52598,52597
5,19,31416,31416
5,20,95744,95744
5,21,28512,28512
5,22,180576,180575
5,23,70980,70980
5,24,111384,111382
5,25,85050,85050
5,26,367200,367198
5,27,55692,55692
5,28,1800708,1800708
5,29,245520,163682
5,30,750200,750200
5,31,107019,107019
5,32,244398,244396
5,33,111090,111090
5,34,1014300,1014299
5,35,270618,180414
5,36,1553112,1553112
