=== Round-wise Reduction Data ===

 game  round  total_moves  pruned_moves  reduction_percent
    1      1           18             3          83.333333
    1      2           16             3          81.250000
    1      3           28             3          89.285714
    1      4           26             1          96.153846
    1      5           40            30          25.000000
    1      6           24            22           8.333333
    1      7           22            13          40.909091
    1      8           17            15          11.764706
    1      9           18            17           5.555556
    1     10           24            10          58.333333
    1     11          922           921           0.108460
    1     12         5283          5282           0.018929
    1     13        28980         28979           0.003451
    1     14         6138          6138           0.000000
    1     15       112530        112529           0.000889
    1     16        21888         21888           0.000000
    1     17        53352         53352           0.000000
    1     18        46494         46494           0.000000
    1     19        44198         44197           0.002263
    1     20        22932         22932           0.000000
    1     21       122304        122304           0.000000
    1     22        86940         57962          33.331033
    1     23       310590        310590           0.000000
    1     24        47940         31962          33.329161
    1     25       391000        390999           0.000256
    1     26        56700         56700           0.000000
    1     27       623700        623700           0.000000
    1     28       147744         98498          33.331980
    1     29       255360        255358           0.000783
    1     30       175392        175392           0.000000
    1     31       511632        511629           0.000586
    1     32       108054        108054           0.000000
    1     33       792396        792396           0.000000
    1     34       128064        128064           0.000000
    1     35      1750208       1750207           0.000057
    1     36       318240        318240           0.000000
    1     37       488430        488430           0.000000
    1     38       719280        719280           0.000000
    1     39       199800        199800           0.000000
    1     40       412920        412920           0.000000
    1     41      1207680       1207677           0.000248
    1     42       481536        481536           0.000000
    1     43      1406988       1406987           0.000071
    1     44       609840        609839           0.000164
    1     45       314160        314159           0.000318
    1     46       970200        970200           0.000000
    1     47      3532760       3532760           0.000000
    1     48       400488        400488           0.000000
    1     49      3337400       3337399           0.000030
    1     50       447525        298352          33.332886
    1     51      1044225       1044225           0.000000
    1     52      1474200       1474200           0.000000
    1     53      2927400       2927399           0.000034
    1     54      1745739       1163828          33.333219
    1     55      1205892       1205892           0.000000
    1     56       632358        421574          33.333017
    1     57      4426506       4426506           0.000000
    1     58      1415880       1415880           0.000000
    1     59      4098870       4098869           0.000024
    1     60       776736        517826          33.333076
    1     61     10615392      10615392           0.000000
    1     62      3479196       3479196           0.000000
    1     63      1522560       1522560           0.000000
    1     64      1865136       1865136           0.000000
    1     65     14574364      14574363           0.000007
    1     66      1061775        707841          33.334181
    1     67      7357350       7357349           0.000014
    1     68      3426930       3426901           0.000846
    1     69      5120700       5120697           0.000059
    1     70      3745440       3745412           0.000748
    1     71      3010224       3010206           0.000598
    1     72           12             1          91.666667
    2      1           18             3          83.333333
    2      2           30             4          86.666667
    2      3           24             4          83.333333
    2      4           28             2          92.857143
    2      5           16            11          31.250000
    2      6           44            34          22.727273
    2      7           14            14           0.000000
    2      8           24            23           4.166667
    2      9          783           781           0.255428
    2     10         1804          1802           0.110865
    2     11        23100         23100           0.000000
    2     12         6384          6384           0.000000
    2     13        68229         68228           0.001466
    2     14        13800          9202          33.318841
    2     15        48070         48069           0.002080
    2     16        41472         27650          33.328511
    2     17        56160         56160           0.000000
    2     18        16704         16704           0.000000
    2     19        94656         94656           0.000000
    2     20        66096         44066          33.330307
    2     21        71820         71819           0.001392
    2     22        28158         18774          33.326231
    2     23       272194        272194           0.000000
    2     24        88806         59206          33.331081
    2     25        93480         93480           0.000000
    2     26       113160        113160           0.000000
    2     27       376257        376257           0.000000
    2     28       217350        217350           0.000000
    2     29       646875        646875           0.000000
    2     30        93312         62210          33.331190
    2     31       761400        761399           0.000131
    2     32       110250        110250           0.000000
    2     33      1690500       1690500           0.000000
    2     34       274752        274752           0.000000
    2     35      1723904       1723904           0.000000
    2     36       336600        224402          33.332739
    2     37       521730        521728           0.000383
    2     38       378624        378624           0.000000
    2     39       845988        845987           0.000118
    2     40       676512        676512           0.000000
    2     41       714096        714094           0.000280
    2     42            6             1          83.333333
    3      1           18             3          83.333333
    3      2            7             3          57.142857
    3      3           13             4          69.230769
    3      4           11             5          54.545455
    3      5            5             2          60.000000
    3      6           44            41           6.818182
    3      7           14            12          14.285714
    3      8            8             7          12.500000
    3      9         2384          2383           0.041946
    3     10         3564          3564           0.000000
    3     11        15842         15841           0.006312
    3     12        14562         14561           0.006867
    3     13        40952         40950           0.004884
    3     14        10946         10945           0.009136
    3     15       141120        141120           0.000000
    3     16        16758         16758           0.000000
    3     17       240198        240198           0.000000
    3     18        55440         36962          33.329726
    3     19       125580        115921           7.691511
    3     20        46391         46370           0.045267
    3     21       302400         12098          95.999339
    3     22        24237         24194           0.177415
    3     23        23250         23042           0.894624
    3     24        11904            28          99.764785
    3     25         1110             4          99.639640
    3     26         2219           439          80.216314
    3     27         1607           439          72.682016
    3     28         3183           873          72.573044
    3     29         2830          2829           0.035336
    3     30         4176          4035           3.376437
    3     31        11511         11497           0.121623
    3     32           70            19          72.857143
    4      1           18             3          83.333333
    4      2           12             3          75.000000
    4      3           10             2          80.000000
    4      4           12             7          41.666667
    4      5           12             3          75.000000
    4      6            4             3          25.000000
    4      7            5             3          40.000000
    4      8            2             2           0.000000
    4      9            5             4          20.000000
    4     10            3             2          33.333333
    4     11         3802          3800           0.052604
    4     12         2052          2048           0.194932
    4     13         2052          2052           0.000000
    4     14         1936          1936           0.000000
    4     15         1954          1954           0.000000
    4     16           62            59           4.838710
    4     17            9             9           0.000000
    4     18         6084          6084           0.000000
    4     19         6565          6554           0.167555
    4     20        15876         15876           0.000000
    4     21         9408          9408           0.000000
    4     22        72800         69890           3.997253
    4     23        28742         28742           0.000000
    4     24       114912        114912           0.000000
    4     25        46464         30978          33.329029
    4     26        74052         74052           0.000000
    4     27        31416         31416           0.000000
    4     28       178024        178023           0.000562
    4     29        82824         82823           0.001207
    4     30       306936        306932           0.001303
    4     31        55296         55296           0.000000
    4     32       446400        446395           0.001120
    4     33        45163         45163           0.000000
    4     34       790020        790020           0.000000
    4     35        84360         84360           0.000000
    4     36       534280        534280           0.000000
    4     37       100035         33349          66.662668
    4     38        33497         33349           0.441831
    4     39        33357         33352           0.014989
    4     40        33361         33354           0.020983
    4     41        98292         65689          33.169536
    4     42        31421         31420           0.003183
    4     43        61568         31929          48.140268
    4     44        32651         32633           0.055128
    4     45        37032         37031           0.002700
    4     46        95544         36266          62.042619
    4     47        34508         34474           0.098528
    4     48        17010         17010           0.000000
    4     49       166050             4          99.997591
