game,round,pu_before,pu_after,territories_before,territories_after
1,1,6,20,2,3
1,2,5,21,3,4
1,3,0,18,4,5
1,4,1,21,5,6
1,5,3,25,6,7
1,6,1,19,4,5
1,7,4,22,4,5
1,8,6,26,5,6
1,9,15,31,4,4
1,10,25,54,3,4
1,11,2,16,2,3
1,12,5,17,2,2
1,13,11,23,2,2
1,14,5,17,1,2
1,15,7,21,2,3
1,16,9,25,3,4
1,17,0,14,3,3
1,18,2,16,2,3
1,19,0,14,2,3
1,20,6,18,2,2
1,21,1,13,2,2
1,22,9,23,2,3
1,23,3,15,2,2
1,24,1,13,1,2
1,25,5,17,2,2
1,26,5,17,2,2
1,27,10,22,1,2
1,28,5,17,2,2
1,29,10,22,1,2
1,30,6,18,2,2
1,31,3,15,2,2
1,32,6,18,1,2
1,33,2,14,2,2
1,34,4,16,1,2
1,35,4,16,2,2
1,36,0,12,1,2
1,37,1,13,1,2
1,38,1,13,1,2
2,1,7,21,2,3
2,2,14,30,3,4
2,3,14,30,3,4
2,4,8,24,3,4
2,5,2,16,2,3
2,6,0,16,3,4
2,7,4,22,4,5
2,8,4,24,5,6
2,9,12,30,5,5
2,10,17,33,3,4
2,11,29,47,4,5
2,12,7,27,5,6
2,13,19,39,5,6
2,14,1,21,5,6
2,15,2,16,2,3
2,16,6,18,1,2
2,17,9,21,2,2
2,18,5,17,2,2
2,19,5,17,1,2
2,20,3,17,2,3
2,21,2,16,3,3
2,22,0,14,2,3
2,23,3,19,3,4
2,24,0,16,4,4
2,25,5,38,5,6
2,26,26,57,5,5
2,27,13,42,3,4
2,28,5,17,2,2
2,29,2,14,2,2
2,30,0,12,1,2
2,31,0,14,2,3
2,32,4,16,2,2
2,33,2,14,1,2
2,34,0,14,2,3
2,35,2,16,3,3
2,36,1,13,2,2
2,37,1,13,2,2
2,38,10,22,2,2
2,39,3,17,2,3
2,40,3,15,1,2
2,41,3,15,2,2
2,42,12,24,1,2
2,43,7,19,2,2
2,44,5,17,1,2
2,45,7,19,1,2
2,46,3,15,1,2
3,1,2,16,2,3
3,2,8,24,3,4
3,3,1,17,3,4
3,4,13,31,4,5
3,5,4,20,4,4
3,6,3,21,4,5
3,7,3,21,4,5
3,8,6,24,4,5
3,9,4,22,5,5
3,10,0,18,4,5
3,11,5,21,4,4
3,12,13,29,4,4
3,13,6,24,4,5
3,14,10,28,5,5
3,15,7,23,4,4
3,16,3,17,3,3
3,17,1,15,2,3
3,18,0,14,2,3
3,19,6,20,2,3
3,20,2,18,3,4
3,21,4,20,3,4
3,22,8,26,4,5
3,23,19,50,4,5
3,24,0,31,5,5
3,25,13,29,3,4
3,26,6,20,3,3
3,27,0,12,1,2
3,28,6,18,2,2
3,29,2,16,2,3
3,30,0,14,2,3
3,31,2,14,2,2
3,32,2,14,1,2
3,33,0,12,2,2
3,34,4,16,1,2
4,1,8,22,2,3
4,2,4,20,3,4
4,3,4,22,4,5
4,4,2,22,5,6
4,5,1,23,6,7
4,6,1,21,6,6
4,7,6,24,5,5
4,8,2,18,3,4
4,9,11,25,2,3
4,10,1,17,3,4
4,11,4,22,4,5
4,12,1,15,3,3
4,13,8,24,3,4
4,14,11,25,3,3
4,15,4,16,1,2
4,16,12,26,2,3
4,17,7,19,2,2
4,18,7,19,1,2
4,19,1,13,1,2
4,20,2,12,1,1
5,1,8,22,2,3
5,2,0,16,3,4
5,3,0,18,4,5
5,4,4,22,4,5
5,5,6,24,4,5
5,6,21,39,5,5
5,7,7,27,5,6
5,8,6,26,6,6
5,9,0,22,6,7
5,10,2,20,4,5
5,11,1,21,5,6
5,12,0,18,5,5
5,13,0,20,5,6
5,14,1,21,5,6
5,15,5,25,5,6
5,16,2,22,5,6
5,17,7,27,6,6
5,18,2,22,5,6
5,19,3,21,4,5
5,20,2,22,5,6
5,21,0,18,5,5
5,22,1,19,5,5
5,23,5,23,4,5
5,24,14,28,2,3
5,25,5,19,2,3
5,26,0,12,1,2
5,27,7,19,2,2
5,28,6,18,1,2
5,29,12,24,2,2
