game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
1,1,231,231,78,-0.0654872904872905,9.987012987012987,3,3
1,2,175,175,37,0.2024055879741229,9.965714285714286,5,5
1,3,156,156,26,0.23883123293738473,9.948717948717949,6,6
1,4,155,155,26,0.24565713148956636,9.974193548387097,6,6
1,5,144,144,49,0.06690286757282134,9.958333333333334,3,3
1,6,138,138,12,0.23675653033174018,9.978260869565217,12,12
1,7,140,140,11,0.23457342500211498,9.985714285714286,13,13
1,8,133,133,14,0.2496545990375491,9.947368421052632,10,10
1,9,141,141,1,-0.25,9.964539007092199,141,764
1,10,139,139,1,-0.268361581920904,9.992805755395683,139,4534
1,11,131,131,1,-0.2566137566137566,9.98473282442748,131,23043
1,12,135,135,1,-0.27209302325581397,9.933333333333334,135,12514
1,13,123,123,1,-0.25862068965517243,9.926829268292684,123,13684
1,14,123,123,1,-0.2777777777777778,9.975609756097562,123,9936
1,15,133,133,1,-0.31297709923664124,10.0,133,152351
1,16,99,99,1,-0.28291814946619215,9.97979797979798,99,11002
1,17,131,131,1,-0.2830188679245283,9.946564885496183,131,159500
1,18,133,133,1,-0.27126099706744866,9.93233082706767,133,7504
1,19,135,135,1,-0.24635568513119532,9.940740740740742,135,7504
1,20,131,131,1,-0.27556109725685785,10.0,131,7504
1,21,140,140,35,0.11585433170925968,10.0,4,4
1,22,140,140,28,0.20398846919609473,10.0,5,5
1,23,135,135,1,-0.2102803738317757,9.985185185185186,135,1261
