game,round,total_moves,pruned_moves
1,1,18,3
1,2,39,4
1,3,36,5
1,4,8,3
1,5,13,5
1,6,76,16
1,7,52,16
1,8,53,14
1,9,22,13
1,10,220,13
1,11,123,15
1,12,39,10
1,13,51,8
1,14,295,6
1,15,87,15
1,16,107,11
1,17,67,10
1,18,4374,13
1,19,98,12
1,20,51,10
1,21,33,9
1,22,75,12
1,23,38,6
1,24,601,7
1,25,99,9
1,26,57,8
1,27,161,5
1,28,63,12
1,29,301,6
1,30,62,9
1,31,26,6
1,32,465,6
1,33,38,6
1,34,106,4
1,35,29,6
1,36,40,4
1,37,121,5
1,38,153,9
2,1,18,3
2,2,7,3
2,3,10,4
2,4,66,6
2,5,73,4
2,6,37,7
2,7,34,7
2,8,16,4
2,9,7,4
2,10,2285,9
2,11,40,8
2,12,17,8
2,13,9,6
2,14,18,6
2,15,2702,8
2,16,3781,4
2,17,75,8
2,18,15,10
2,19,1561,8
2,20,66,9
2,21,42,9
2,22,3869,8
2,23,79,8
2,24,43,6
2,25,80,20
2,26,52,14
2,27,849,18
2,28,167,6
2,29,362,8
2,30,755,8
2,31,38,12
2,32,20,6
2,33,1648,6
2,34,137,6
2,35,281,8
2,36,27,6
2,37,39,6
2,38,27,6
2,39,14,6
2,40,976,5
2,41,21,9
2,42,771,5
2,43,21,9
2,44,1261,8
2,45,147,8
2,46,245,8
3,1,18,3
3,2,17,4
3,3,21,4
3,4,31,4
3,5,31,3
3,6,34,8
3,7,45,11
3,8,23,10
3,9,7,4
3,10,17,6
3,11,7,4
3,12,13,4
3,13,27,6
3,14,6,5
3,15,13,4
3,16,6339,7
3,17,8319,6
3,18,6259,8
3,19,5481,8
3,20,118,14
3,21,126,15
3,22,155,9
3,23,83,9
3,24,47,10
3,25,13026,8
3,26,21,10
3,27,1618,5
3,28,63,9
3,29,27,8
3,30,38698,6
3,31,15,6
3,32,1905,8
3,33,123,6
3,34,1540,7
4,1,18,3
4,2,6,3
4,3,10,4
4,4,17,6
4,5,13,5
4,6,15,12
4,7,8,4
4,8,911,5
4,9,1021,7
4,10,171,12
4,11,123,10
4,12,45,8
4,13,69,10
4,14,13,6
4,15,987,8
4,16,147,10
4,17,75,13
4,18,1249,8
4,19,397,6
4,20,313,7
5,1,18,3
5,2,13,4
5,3,7,3
5,4,13,3
5,5,35,9
5,6,41,15
5,7,52,9
5,8,33,12
5,9,31,10
5,10,48,16
5,11,43,12
5,12,39,12
5,13,19,12
5,14,7791,14
5,15,20,16
5,16,9810,6
5,17,7,4
5,18,5,4
5,19,2643,7
5,20,27,6
5,21,15,4
5,22,13,4
5,23,36,15
5,24,4074,15
5,25,39,9
5,26,9586,4
5,27,57,6
5,28,4403,7
5,29,111,10
5,30,1826,8
5,31,63,12
5,32,45,9
5,33,14641,9
5,34,147,14
5,35,3235,8
5,36,47,9
5,37,38,10
5,38,3477,4
5,39,38,10
5,40,1041,5
5,41,2491,5
5,42,74,6
5,43,1329,6
5,44,50,9
5,45,1805,5
5,46,57,8
5,47,766,5
5,48,39,12
5,49,901,6
5,50,90,8
5,51,361,8
6,1,18,3
6,2,15,4
6,3,10,4
6,4,395,8
6,5,25,5
6,6,79,8
6,7,102,10
6,8,52,8
6,9,95,8
6,10,884,6
6,11,544,12
6,12,137,6
6,13,9448,12
6,14,8858,9
6,15,277,6
6,16,415,5
6,17,182,8
6,18,105,8
6,19,63,8
6,20,87,8
6,21,34,6
6,22,581,7
6,23,721,4
6,24,260,7
7,1,18,3
7,2,29,4
7,3,31,5
7,4,45,4
7,5,30,2
7,6,43,8
7,7,24,8
7,8,341,8
7,9,45,9
7,10,116,8
7,11,100,8
7,12,224,6
7,13,109,4
7,14,29,6
7,15,53,6
7,16,23,6
7,17,7777,6
7,18,79,9
7,19,513,5
7,20,20,6
7,21,93,6
7,22,859,7
7,23,715,7
8,1,18,3
8,2,7,3
8,3,10,4
8,4,16,6
8,5,24,8
8,6,9,6
8,7,11,6
8,8,26,6
8,9,2704,7
8,10,19,4
8,11,41,4
8,12,64,6
8,13,38,6
8,14,26,4
8,15,38,8
8,16,32,4
8,17,77,8
8,18,30,12
8,19,2965,7
8,20,18,4
8,21,50,4
8,22,50,6
8,23,2497,6
8,24,38,10
8,25,14,4
8,26,32,7
8,27,26,4
8,28,32,7
8,29,10249,6
8,30,20,4
8,31,50,6
8,32,3217,8
8,33,36,12
8,34,26,9
8,35,45,9
8,36,129,15
8,37,43,6
8,38,33,6
8,39,48,6
8,40,3169,7
8,41,129,8
8,42,39,8
8,43,3667,5
8,44,57,6
8,45,3136,8
8,46,128,6
8,47,981,10
9,1,18,3
9,2,6,3
9,3,24,4
9,4,21,6
9,5,18,7
9,6,15,11
9,7,17,10
9,8,294,15
9,9,109,19
9,10,335,18
9,11,26,6
9,12,27,8
9,13,209,6
9,14,99,10
9,15,48,10
9,16,128,12
9,17,63,12
9,18,100,4
9,19,21,6
9,20,106,4
9,21,39,8
9,22,281,6
9,23,373,5
9,24,65,6
9,25,105,7
10,1,18,3
10,2,40,4
10,3,45,5
10,4,31,7
10,5,17,6
10,6,28,15
10,7,20,14
10,8,4046,14
10,9,846,14
10,10,51,12
10,11,21,11
10,12,1266,8
10,13,50,8
10,14,70,7
10,15,23,9
10,16,1585,4
10,17,2341,4
10,18,27,6
10,19,1177,8
10,20,45,7
10,21,785,8
10,22,147,12
10,23,51,9
10,24,577,7
10,25,291,10
10,26,139,4
10,27,48,8
10,28,216,5
10,29,47,6
10,30,177,6
10,31,157,5
10,32,149,7
