=== Round-wise Reduction Data ===

 game  round  total_moves  pruned_moves  reduction_percent
    1      1           18             3          83.333333
    1      2           14             4          71.428571
    1      3            2             0         100.000000
    1      4          220           214           2.727273
    1      5          508             3          99.409449
    1      6          390           194          50.256410
    1      7           77            75           2.597403
    1      8           54            41          24.074074
    1      9            8             5          37.500000
    1     10          242           242           0.000000
    1     11          728           488          32.967033
    1     12          260           241           7.307692
    1     13          238           218           8.403361
    1     14          258           215          16.666667
    1     15          144            94          34.722222
    1     16           60            16          73.333333
    1     17          330           329           0.303030
    1     18         1982          1324          33.198789
    1     19        15345         15345           0.000000
    1     20         6124          4086          33.278903
    1     21        39525         38252           3.220746
    1     22         4338          4334           0.092208
    1     23        63612         63578           0.053449
    1     24           12             1          91.666667
    2      1           18             3          83.333333
    2      2           16             4          75.000000
    2      3           10             2          80.000000
    2      4            5             2          60.000000
    2      5          653           647           0.918836
    2      6          866           866           0.000000
    2      7         5016           266          94.696970
    2      8          588           530           9.863946
    2      9        58344           266          99.544083
    2     10         1280           242          81.093750
    2     11          552           242          56.159420
    2     12         1600           602          62.375000
    2     13         1470             2          99.863946
    2     14           50             6          88.000000
    2     15          104            52          50.000000
    2     16           42             4          90.476190
    2     17           16             4          75.000000
    2     18           12             4          66.666667
    2     19         3034          3032           0.065920
    2     20        54432         54432           0.000000
    2     21       170100        170099           0.000588
    2     22        18010         18009           0.005552
    2     23       153000        153000           0.000000
    2     24        65340         65340           0.000000
    2     25       491139        491139           0.000000
    2     26        95904         63938          33.331248
    2     27        17394         17357           0.212717
    2     28        17328         17323           0.028855
    2     29        17332         17330           0.011539
    2     30        52248         34934          33.138111
    2     31        16020         16020           0.000000
    2     32        60688         30738          49.350778
    2     33        17502         17490           0.068564
    2     34        17736         17736           0.000000
    2     35        50664         30242          40.308700
    2     36        28872         19118          33.783597
    2     37        13300         13300           0.000000
    2     38        39900         26602          33.328321
    2     39      5519500       5519500           0.000000
    2     40       432960        288642          33.332871
    2     41      1025000        984002           3.999805
    2     42        93938         46960          50.009581
    2     43        47034         46958           0.161585
    2     44        46962         46960           0.004259
    2     45       140878         46963          66.664064
    2     46        38288         38228           0.156707
    2     47           16             9          43.750000
    2     48            6             3          50.000000
    2     49         1080          1080           0.000000
    2     50         9720          9720           0.000000
    2     51        18900         18898           0.010582
    2     52        34560         23042          33.327546
    2     53        32256         32256           0.000000
    2     54        54432         18148          66.659318
    2     55         7390          7354           0.487145
    2     56         7354          7354           0.000000
    2     57         7510          7509           0.013316
    2     58          432             2          99.537037
    2     59           30             5          83.333333
    2     60           19            13          31.578947
    2     61           35            22          37.142857
    2     62            0             0           0.000000
    2     63          594           593           0.168350
    2     64         1782          1190          33.221100
    2     65         8910          8910           0.000000
    2     66         6048          2020          66.600529
    2     67         1300          1264           2.769231
    2     68         1219          1191           2.296965
    2     69           12             5          58.333333
    2     70           36             5          86.111111
    2     71           36             4          88.888889
    2     72          386           383           0.777202
    2     73           10             1          90.000000
    3      1           18             3          83.333333
    3      2           12             4          66.666667
    3      3            6             2          66.666667
    3      4           12             5          58.333333
    3      5           42            18          57.142857
    3      6           17             6          64.705882
    3      7           24             6          75.000000
    3      8            9             4          55.555556
    3      9           10             8          20.000000
    3     10         2090          2084           0.287081
    3     11         3240          3240           0.000000
    3     12        19836         19836           0.000000
    3     13         4488          4488           0.000000
    3     14        97240         97240           0.000000
    3     15         8610          8610           0.000000
    3     16        45920         45919           0.002178
    3     17        11610         11610           0.000000
    3     18        96750         96748           0.002067
    3     19        15732         10490          33.320620
    3     20       115368        115368           0.000000
    3     21        19656         19656           0.000000
    3     22       124488        124488           0.000000
    3     23        70794         47198          33.330508
    3     24       164864        164864           0.000000
    3     25        40710         27142          33.328421
    3     26       284970        284970           0.000000
    3     27       100440        100440           0.000000
    3     28       405108        405107           0.000247
    3     29        68607         68607           0.000000
    3     30      1051974       1051974           0.000000
    3     31       180180        180180           0.000000
    3     32       414050        414050           0.000000
    3     33       110250        110250           0.000000
    3     34       698250        698250           0.000000
    3     35       616050        616050           0.000000
    3     36       520220        520219           0.000192
    3     37       349650        349649           0.000286
    3     38       549450        549450           0.000000
    3     39       204240        204240           0.000000
    3     40      1293520       1293519           0.000077
    3     41       463956        463956           0.000000
    3     42      1992600       1992600           0.000000
    3     43       270900        270900           0.000000
    3     44      2257500       2257500           0.000000
    3     45       313200        313200           0.000000
    3     46      2580000       2579998           0.000078
    3     47       343980        343980           0.000000
    3     48      4195282       4195280           0.000048
    3     49       788256        788255           0.000127
    3     50       952476        952476           0.000000
    3     51       425952        425952           0.000000
    3     52      2981664       2981664           0.000000
    3     53      1395306       1395306           0.000000
    3     54      3480246       3480246           0.000000
    3     55      1634382       1634382           0.000000
    3     56      2513082       2513081           0.000040
    3     57      1231956       1231956           0.000000
    3     58      6912642       6912641           0.000014
    3     59            2             1          50.000000
    4      1           18             3          83.333333
    4      2           16             4          75.000000
    4      3            6             1          83.333333
    4      4          172           165           4.069767
    4      5          108            54          50.000000
    4      6           64            56          12.500000
    4      7           72            53          26.388889
    4      8           62             5          91.935484
    4      9           62            59           4.838710
    4     10           18            17           5.555556
    4     11           13            12           7.692308
    4     12            4             3          25.000000
    4     13           15            13          13.333333
    4     14           20            14          30.000000
    4     15           52            36          30.769231
    4     16         3032          3029           0.098945
    4     17         1060          1058           0.188679
    4     18         1056          1056           0.000000
    4     19         1056          1056           0.000000
    4     20         1008          1008           0.000000
    4     21            0             0           0.000000
    4     22            4             3          25.000000
    4     23         7564          7559           0.066103
    4     24         4808          4808           0.000000
    4     25         2601          2600           0.038447
    4     26         5445          5444           0.018365
    4     27         2897          2896           0.034518
    4     28          704           703           0.142045
    4     29         3128          3124           0.127877
    4     30        13522         13520           0.014791
    4     31         6760          6760           0.000000
    4     32         1904          1903           0.052521
    4     33           15             9          40.000000
    4     34           32            30           6.250000
    4     35           24            12          50.000000
    4     36          162           111          31.481481
    5      1           18             3          83.333333
    5      2           28             4          85.714286
    5      3           14             2          85.714286
    5      4           28             2          92.857143
    5      5           10             1          90.000000
    5      6          842           841           0.118765
    5      7         1926          1922           0.207684
    5      8        10780         10780           0.000000
    5      9         2191          1096          49.977179
    5     10         1015             4          99.605911
    5     11          794             4          99.496222
    5     12           48            40          16.666667
    5     13          118           107           9.322034
    5     14           40            34          15.000000
    5     15           36            13          63.888889
    5     16          390           390           0.000000
    5     17         1458          1458           0.000000
    5     18         2730          2728           0.073260
    5     19         1179          1178           0.084818
    5     20        19404         19403           0.005154
    5     21         4708          4706           0.042481
    5     22        45045         45045           0.000000
    5     23         8646          8642           0.046264
    5     24        87024         87024           0.000000
    5     25         7945          7940           0.062933
    5     26       154980        154980           0.000000
    5     27        22824         22818           0.026288
    5     28       295182        295182           0.000000
    5     29        58817         58808           0.015302
    5     30       115830        115830           0.000000
    5     31        60073         60062           0.018311
    5     32       145530        145529           0.000687
    5     33        72366         72354           0.016582
    5     34       358530        358529           0.000279
    5     35       138615        138602           0.009378
    5     36       575960        549781           4.545281
    5     37        62764         62734           0.047798
    5     38        32472         32472           0.000000
    5     39        32474         32474           0.000000
    5     40        31736         31736           0.000000
    5     41        95206         95162           0.046216
    5     42           10             7          30.000000
    5     43            7             6          14.285714
    5     44            7             4          42.857143
    5     45         9418          9320           1.040561


=== Game-wise Summary (Avg of Round-wise Reduction) ===

   game  rounds  avg_round_reduction  avg_round_reduction_percent
      1    24.0             0.336059                    33.605859
      2    73.0             0.332324                    33.232360
      3    59.0             0.118250                    11.825022
      4    36.0             0.193684                    19.368437
      5    45.0             0.196695                    19.669486
OVERALL    47.4             0.235402                    23.540233
