game,round,pu_before,pu_after,territories_before,territories_after
1,1,11,25,2,3
1,2,9,25,3,4
1,3,22,40,4,5
1,4,8,26,4,5
1,5,17,35,4,5
1,6,8,26,4,5
1,7,5,23,4,5
1,8,7,25,4,5
1,9,9,27,4,5
1,10,4,22,4,5
1,11,6,22,3,4
1,12,12,24,1,2
1,13,4,18,2,3
1,14,5,19,2,3
1,15,1,15,2,3
1,16,0,14,2,3
1,17,0,14,2,3
1,18,1,15,2,3
1,19,0,14,2,3
1,20,1,15,2,3
1,21,10,24,2,3
1,22,2,16,2,3
1,23,0,14,2,3
1,24,1,15,2,3
1,25,0,14,2,3
1,26,1,15,2,3
1,27,0,14,2,3
1,28,6,20,2,3
1,29,1,15,2,3
1,30,12,26,2,3
1,31,9,23,2,3
1,32,4,18,2,3
1,33,8,22,2,3
1,34,1,15,2,3
1,35,0,14,2,3
1,36,5,19,2,3
1,37,14,28,2,3
1,38,5,19,2,3
1,39,8,22,2,3
1,40,2,16,2,3
1,41,0,14,2,3
1,42,5,19,2,3
1,43,1,15,2,3
1,44,3,17,2,3
1,45,3,17,2,3
1,46,8,22,2,3
1,47,8,22,2,3
1,48,13,27,2,3
1,49,20,34,2,3
1,50,1,15,2,3
1,51,5,19,2,3
1,52,6,20,2,3
1,53,7,21,2,3
1,54,5,19,2,3
1,55,2,16,2,3
1,56,1,11,1,1
2,1,2,16,2,3
2,2,8,24,3,4
2,3,0,18,4,5
2,4,3,21,4,5
2,5,11,27,3,4
2,6,5,23,4,5
2,7,2,22,5,6
2,8,1,21,5,6
2,9,13,33,5,6
2,10,4,22,4,5
2,11,2,18,3,4
2,12,4,20,3,4
2,13,16,32,3,4
2,14,19,35,3,4
2,15,5,21,3,4
2,16,6,22,3,4
2,17,5,21,3,4
2,18,0,16,3,4
2,19,5,21,3,4
2,20,17,31,2,3
2,21,12,26,2,3
2,22,8,22,2,3
2,23,7,21,2,3
2,24,5,19,2,3
2,25,1,11,1,1
3,1,3,17,2,3
3,2,0,16,3,4
3,3,4,22,4,5
3,4,4,24,5,6
3,5,15,35,5,6
3,6,6,28,6,7
3,7,6,26,6,6
3,8,11,27,3,4
3,9,3,21,4,5
3,10,7,25,4,5
3,11,7,25,4,5
3,12,7,25,4,5
3,13,3,21,4,5
3,14,2,20,4,5
3,15,11,29,4,5
3,16,2,20,4,5
3,17,11,27,3,4
3,18,1,15,2,3
3,19,0,14,2,3
3,20,3,17,2,3
3,21,1,15,2,3
3,22,10,24,2,3
3,23,16,30,2,3
3,24,10,24,2,3
3,25,15,29,2,3
3,26,2,16,2,3
3,27,6,20,2,3
4,1,5,19,2,3
4,2,8,24,3,4
4,3,9,27,4,5
4,4,10,26,3,4
4,5,8,22,2,3
4,6,5,21,3,4
4,7,2,20,4,5
4,8,2,20,4,5
4,9,0,20,5,6
4,10,7,27,5,6
4,11,0,16,4,4
4,12,7,21,2,3
4,13,6,20,2,3
4,14,9,23,2,3
4,15,9,23,2,3
4,16,5,19,2,3
4,17,12,26,2,3
4,18,8,22,2,3
4,19,5,19,2,3
4,20,6,20,2,3
4,21,4,18,2,3
4,22,3,17,2,3
4,23,1,15,2,3
4,24,4,18,2,3
4,25,7,21,2,3
4,26,2,16,2,3
4,27,3,17,2,3
4,28,6,20,2,3
4,29,0,14,2,3
4,30,2,16,2,3
4,31,9,25,3,4
4,32,6,16,1,1
5,1,2,16,2,3
5,2,6,22,3,4
5,3,2,20,4,5
5,4,11,31,5,6
5,5,1,19,4,5
5,6,11,27,3,4
5,7,6,24,4,5
5,8,6,26,5,6
5,9,18,40,6,7
5,10,14,36,6,7
5,11,16,32,3,4
5,12,6,20,2,3
5,13,2,16,2,3
5,14,4,18,2,3
5,15,3,17,2,3
5,16,11,25,2,3
5,17,19,33,2,3
5,18,6,20,2,3
5,19,17,31,2,3
5,20,4,18,2,3
5,21,7,21,2,3
5,22,3,13,1,1
