game,round,num_iterations,root_node_visits,best_node_visits,best_node_value,avg_depth,explored,total_actions
1,1,14,14,5,0.20769230769230768,9.428571428571429,3,3
1,2,9,9,3,0.0934959349593496,9.88888888888889,4,4
1,3,8,8,4,0.13793103448275862,9.875,2,2
1,4,7,7,4,0.125,10.0,2,2
1,5,7,7,1,-0.2765957446808511,9.428571428571429,7,20
1,6,7,7,2,0.0,9.0,5,5
1,7,6,6,1,-0.2619047619047619,10.0,6,51
1,8,7,7,2,0.0,8.857142857142858,5,5
1,9,7,7,1,-0.25757575757575757,8.714285714285714,7,42
1,10,7,7,2,0.0,9.285714285714286,6,6
1,11,6,6,1,-0.2393617021276596,9.833333333333334,6,71
1,12,6,6,1,-0.22727272727272727,9.5,6,299
1,13,6,6,1,-0.23059360730593606,9.833333333333334,6,897
1,14,6,6,1,-0.225,10.0,6,6577
1,15,6,6,1,-0.2248062015503876,10.0,6,2850
1,16,7,7,1,-0.22401433691756273,8.857142857142858,7,18049
1,17,6,6,1,-0.23220338983050848,9.833333333333334,6,3744
1,18,7,7,1,-0.22555205047318613,9.285714285714286,7,51168
1,19,6,6,1,-0.22424242424242424,9.5,6,7047
1,20,6,6,1,-0.21757925072046108,9.833333333333334,6,86913
1,21,6,6,1,-0.22054794520547946,9.833333333333334,6,23666
1,22,6,6,1,-0.21808510638297873,9.666666666666666,6,28707
1,23,6,6,1,-0.19208211143695014,10.0,6,26798
1,24,6,6,1,-0.20027247956403268,9.5,6,252648
1,25,5,5,1,-0.17723342939481268,10.0,5,30720
1,26,6,6,1,-0.16944444444444445,9.0,6,309501
1,27,6,6,1,-0.18253968253968253,8.833333333333334,6,118422
1,28,6,6,1,-0.1875,9.333333333333334,6,128656
1,29,5,5,1,-0.18496420047732698,9.6,5,54978
1,30,5,5,1,-0.17579908675799086,9.8,5,678062
1,31,6,6,1,-0.20379746835443038,9.0,6,71604
1,32,6,6,1,-0.20405727923627684,9.166666666666666,6,381886
1,33,6,6,1,-0.19866071428571427,9.333333333333334,6,240084
1,34,6,6,1,-0.16666666666666666,9.333333333333334,6,400140
1,35,6,6,1,-0.1423529411764706,8.666666666666666,6,108528
1,36,5,5,1,-0.14523281596452328,9.8,5,1456729
1,37,6,6,1,-0.14761904761904762,9.833333333333334,6,269567
1,38,6,6,1,-0.13109048723897912,9.666666666666666,6,142271
1,39,6,6,1,-0.13111111111111112,9.333333333333334,6,99842
1,40,6,6,1,-0.1206896551724138,8.666666666666666,6,2446080
1,41,6,6,1,-0.11904761904761904,9.333333333333334,6,365904
1,42,6,6,1,-0.10756972111553785,10.0,6,1950520
1,43,6,6,1,-0.09880239520958084,9.0,6,443520
1,44,6,6,1,-0.08633776091081594,9.0,6,1236478
1,45,6,6,1,-0.07769652650822668,9.166666666666666,6,254748
1,46,6,6,1,-0.06842105263157895,9.833333333333334,6,2802226
1,47,6,6,1,-0.06672443674176777,9.833333333333334,6,293040
1,48,6,6,1,-0.06333333333333334,9.5,6,1855918
1,49,6,6,1,-0.0625,9.666666666666666,6,655200
1,50,6,6,1,-0.03504273504273504,9.333333333333334,6,783215
1,51,6,6,1,-0.05577299412915851,9.833333333333334,6,704699
1,52,6,6,1,-0.038461538461538464,9.0,6,3004400
1,53,6,6,1,-0.03141831238779174,9.833333333333334,6,1298699
1,54,6,6,1,-0.02495697074010327,9.833333333333334,6,2000936
1,55,6,6,1,-0.24881516587677724,9.666666666666666,6,497451
1,56,7,7,7,-0.03125,8.714285714285714,1,1
2,1,22,22,8,0.21710526315789475,9.772727272727273,3,3
2,2,11,11,3,0.08095238095238096,9.909090909090908,4,4
2,3,8,8,4,0.11274509803921569,9.875,2,2
2,4,7,7,7,0.16524520255863542,10.0,1,1
2,5,8,8,1,-0.2682926829268293,9.5,8,479
2,6,8,8,1,-0.2653061224489796,9.125,8,544
2,7,7,7,4,0.13114754098360656,9.142857142857142,2,2
2,8,7,7,1,-0.2426470588235294,9.142857142857142,7,403
2,9,6,6,1,-0.2246376811594203,10.0,6,184
2,10,6,6,1,-0.17883211678832117,10.0,6,289
2,11,6,6,1,-0.18711656441717792,10.0,6,770
2,12,6,6,1,-0.1951219512195122,10.0,6,13200
2,13,6,6,1,-0.1054421768707483,10.0,6,4082
2,14,7,7,1,-0.09574468085106383,9.285714285714286,7,10097
2,15,7,7,1,-0.05214723926380368,8.857142857142858,7,5618
2,16,7,7,1,-0.05080213903743316,9.142857142857142,7,93366
2,17,7,7,1,0.05844155844155844,9.714285714285714,7,12290
2,18,7,7,1,0.06741573033707865,9.0,7,124418
2,19,7,7,1,0.0665024630541872,9.142857142857142,7,10870
2,20,7,7,1,0.1188118811881188,9.714285714285714,7,152152
2,21,7,7,1,0.17685589519650655,8.857142857142858,7,24948
2,22,8,8,1,0.19387755102040816,9.0,8,200199
2,23,8,8,1,0.22519083969465647,10.0,8,90396
2,24,8,8,1,0.21955719557195572,10.0,8,152333
2,25,10,10,10,-0.3743589743589744,9.4,1,1
3,1,21,21,7,0.2067669172932331,10.0,3,3
