game,round,total_moves,pruned_moves
1,1,18,3
1,2,14,4
1,3,14,2
1,4,12,2
1,5,44,20
1,6,38,5
1,7,92,51
1,8,26,5
1,9,70,42
1,10,36,6
1,11,76,71
1,12,299,299
1,13,897,897
1,14,6578,6577
1,15,2850,2850
1,16,18050,18049
1,17,3744,3744
1,18,51168,51168
1,19,7047,7047
1,20,86913,86913
1,21,35496,23666
1,22,28710,28707
1,23,40194,26798
1,24,252648,252648
1,25,30720,30720
1,26,309504,309501
1,27,118422,118422
1,28,128656,128656
1,29,54978,54978
1,30,678062,678062
1,31,71604,71604
1,32,381888,381886
1,33,240084,240084
1,34,400140,400140
1,35,108528,108528
1,36,1456730,1456729
1,37,269568,269567
1,38,142272,142271
1,39,149760,99842
1,40,2446080,2446080
1,41,365904,365904
1,42,1950520,1950520
1,43,443520,443520
1,44,1236480,1236478
1,45,254748,254748
1,46,2802228,2802226
1,47,293040,293040
1,48,1855920,1855918
1,49,655200,655200
1,50,783216,783215
1,51,704700,704699
1,52,3004400,3004400
1,53,1298700,1298699
1,54,2000960,2000936
1,55,497475,497451
1,56,50,1
2,1,18,3
2,2,12,4
2,3,6,2
2,4,6,1
2,5,486,479
2,6,546,544
2,7,300,2
2,8,404,403
2,9,208,184
2,10,290,289
2,11,772,770
2,12,13200,13200
2,13,4085,4082
2,14,10098,10097
2,15,5622,5618
2,16,93366,93366
2,17,12296,12290
2,18,127872,124418
2,19,10879,10870
2,20,152152,152152
2,21,24948,24948
2,22,200200,200199
2,23,90396,90396
2,24,152334,152333
2,25,12,1
3,1,18,3
3,2,22,4
3,3,8,2
3,4,6,1
3,5,10,2
3,6,6,4
3,7,4,2
3,8,1848,1847
3,9,4032,4032
3,10,57624,57624
3,11,4256,4256
3,12,65968,65967
3,13,25760,25760
3,14,120497,120497
3,15,11900,11900
3,16,113050,113049
3,17,18214,18214
3,18,300300,300299
3,19,74250,74250
3,20,475200,475200
3,21,54288,54288
3,22,560976,560975
3,23,131580,87722
3,24,116100,116099
3,25,379905,253272
3,26,148350,148349
3,27,367488,244881
4,1,18,3
4,2,14,4
4,3,12,2
4,4,16,8
4,5,438,431
4,6,872,438
4,7,228,4
4,8,194,44
4,9,32,9
4,10,27,27
4,11,5,2
4,12,1226,1224
4,13,3564,3564
4,14,7128,7127
4,15,4389,4389
4,16,33250,33245
4,17,26208,26208
4,18,21021,21019
4,19,20328,13554
4,20,99528,99528
4,21,16200,16200
4,22,188700,188699
4,23,24024,16018
4,24,248248,248248
4,25,65520,65520
4,26,123750,123750
4,27,120960,120960
4,28,196560,196557
4,29,111600,111599
4,30,312480,312479
4,31,49525,49504
4,32,12,1
5,1,18,3
5,2,28,3
5,3,28,3
5,4,29,1
5,5,28,23
5,6,2466,2448
5,7,876,868
5,8,504,504
5,9,508,508
5,10,508,505
5,11,350,350
5,12,4725,4725
5,13,8568,8568
5,14,3150,3150
5,15,30450,30450
5,16,6300,6300
5,17,18900,18900
5,18,8100,8100
5,19,78300,78300
5,20,12870,12870
5,21,94380,94379
5,22,6,1
