=== Round-wise Reduction Data ===

 game  round  total_moves  pruned_moves  reduction_percent
    1      1           18             3          83.333333
    1      2           14             4          71.428571
    1      3           14             2          85.714286
    1      4           12             2          83.333333
    1      5           44            20          54.545455
    1      6           38             5          86.842105
    1      7           92            51          44.565217
    1      8           26             5          80.769231
    1      9           70            42          40.000000
    1     10           36             6          83.333333
    1     11           76            71           6.578947
    1     12          299           299           0.000000
    1     13          897           897           0.000000
    1     14         6578          6577           0.015202
    1     15         2850          2850           0.000000
    1     16        18050         18049           0.005540
    1     17         3744          3744           0.000000
    1     18        51168         51168           0.000000
    1     19         7047          7047           0.000000
    1     20        86913         86913           0.000000
    1     21        35496         23666          33.327699
    1     22        28710         28707           0.010449
    1     23        40194         26798          33.328357
    1     24       252648        252648           0.000000
    1     25        30720         30720           0.000000
    1     26       309504        309501           0.000969
    1     27       118422        118422           0.000000
    1     28       128656        128656           0.000000
    1     29        54978         54978           0.000000
    1     30       678062        678062           0.000000
    1     31        71604         71604           0.000000
    1     32       381888        381886           0.000524
    1     33       240084        240084           0.000000
    1     34       400140        400140           0.000000
    1     35       108528        108528           0.000000
    1     36      1456730       1456729           0.000069
    1     37       269568        269567           0.000371
    1     38       142272        142271           0.000703
    1     39       149760         99842          33.331998
    1     40      2446080       2446080           0.000000
    1     41       365904        365904           0.000000
    1     42      1950520       1950520           0.000000
    1     43       443520        443520           0.000000
    1     44      1236480       1236478           0.000162
    1     45       254748        254748           0.000000
    1     46      2802228       2802226           0.000071
    1     47       293040        293040           0.000000
    1     48      1855920       1855918           0.000108
    1     49       655200        655200           0.000000
    1     50       783216        783215           0.000128
    1     51       704700        704699           0.000142
    1     52      3004400       3004400           0.000000
    1     53      1298700       1298699           0.000077
    1     54      2000960       2000936           0.001199
    1     55       497475        497451           0.004824
    1     56           50             1          98.000000
    2      1           18             3          83.333333
    2      2           12             4          66.666667
    2      3            6             2          66.666667
    2      4            6             1          83.333333
    2      5          486           479           1.440329
    2      6          546           544           0.366300
    2      7          300             2          99.333333
    2      8          404           403           0.247525
    2      9          208           184          11.538462
    2     10          290           289           0.344828
    2     11          772           770           0.259067
    2     12        13200         13200           0.000000
    2     13         4085          4082           0.073439
    2     14        10098         10097           0.009903
    2     15         5622          5618           0.071149
    2     16        93366         93366           0.000000
    2     17        12296         12290           0.048796
    2     18       127872        124418           2.701139
    2     19        10879         10870           0.082728
    2     20       152152        152152           0.000000
    2     21        24948         24948           0.000000
    2     22       200200        200199           0.000500
    2     23        90396         90396           0.000000
    2     24       152334        152333           0.000656
    2     25           12             1          91.666667
    3      1           18             3          83.333333
    3      2           22             4          81.818182
    3      3            8             2          75.000000
    3      4            6             1          83.333333
    3      5           10             2          80.000000
    3      6            6             4          33.333333
    3      7            4             2          50.000000
    3      8         1848          1847           0.054113
    3      9         4032          4032           0.000000
    3     10        57624         57624           0.000000
    3     11         4256          4256           0.000000
    3     12        65968         65967           0.001516
    3     13        25760         25760           0.000000
    3     14       120497        120497           0.000000
    3     15        11900         11900           0.000000
    3     16       113050        113049           0.000885
    3     17        18214         18214           0.000000
    3     18       300300        300299           0.000333
    3     19        74250         74250           0.000000
    3     20       475200        475200           0.000000
    3     21        54288         54288           0.000000
    3     22       560976        560975           0.000178
    3     23       131580         87722          33.331813
    3     24       116100        116099           0.000861
    3     25       379905        253272          33.332807
    3     26       148350        148349           0.000674
    3     27       367488        244881          33.363538
    4      1           18             3          83.333333
    4      2           14             4          71.428571
    4      3           12             2          83.333333
    4      4           16             8          50.000000
    4      5          438           431           1.598174
    4      6          872           438          49.770642
    4      7          228             4          98.245614
    4      8          194            44          77.319588
    4      9           32             9          71.875000
    4     10           27            27           0.000000
    4     11            5             2          60.000000
    4     12         1226          1224           0.163132
    4     13         3564          3564           0.000000
    4     14         7128          7127           0.014029
    4     15         4389          4389           0.000000
    4     16        33250         33245           0.015038
    4     17        26208         26208           0.000000
    4     18        21021         21019           0.009514
    4     19        20328         13554          33.323495
    4     20        99528         99528           0.000000
    4     21        16200         16200           0.000000
    4     22       188700        188699           0.000530
    4     23        24024         16018          33.325008
    4     24       248248        248248           0.000000
    4     25        65520         65520           0.000000
    4     26       123750        123750           0.000000
    4     27       120960        120960           0.000000
    4     28       196560        196557           0.001526
    4     29       111600        111599           0.000896
    4     30       312480        312479           0.000320
    4     31        49525         49504           0.042403
    4     32           12             1          91.666667
    5      1           18             3          83.333333
    5      2           28             3          89.285714
    5      3           28             3          89.285714
    5      4           29             1          96.551724
    5      5           28            23          17.857143
    5      6         2466          2448           0.729927
    5      7          876           868           0.913242
    5      8          504           504           0.000000
    5      9          508           508           0.000000
    5     10          508           505           0.590551
    5     11          350           350           0.000000
    5     12         4725          4725           0.000000
    5     13         8568          8568           0.000000
    5     14         3150          3150           0.000000
    5     15        30450         30450           0.000000
    5     16         6300          6300           0.000000
    5     17        18900         18900           0.000000
    5     18         8100          8100           0.000000
    5     19        78300         78300           0.000000
    5     20        12870         12870           0.000000
    5     21        94380         94379           0.001060
    5     22            6             1          83.333333


=== Game-wise Summary (Avg of Round-wise Reduction) ===

   game  rounds  avg_round_reduction  avg_round_reduction_percent
      1    56.0             0.164013                    16.401293
      2    25.0             0.203274                    20.327393
      3    27.0             0.217372                    21.737219
      4    32.0             0.251708                    25.170838
      5    22.0             0.209946                    20.994625
OVERALL    32.4             0.209263                    20.926273
